epoch,train_loss
1,2.4196437001228333
2,1.5222915609677632
3,1.4433066447575886
4,1.4248222907384236
5,1.4086182713508606
6,1.399780015150706
7,1.4080319205919902
8,1.3981340527534485
9,1.3980285127957661
10,1.403480549653371
11,1.4038535952568054
12,1.3979692856470745
13,1.3986599047978718
14,1.4082981149355571
15,1.403470774491628
16,1.3996784488360088
17,1.4025325973828633
18,1.3986567457516987
19,1.4016905625661213
20,1.3995718955993652
21,1.3973204096158345
22,1.4020517468452454
23,1.3973495165507
24,1.4002644419670105
25,1.4027396241823833
26,1.3966555992762248
27,1.3953611254692078
28,1.3952102661132812
29,1.3987268805503845
30,1.3963143626848857
31,1.3981318076451619
32,1.399294098218282
33,1.3991915980974834
34,1.3987414240837097
35,1.39624019463857
36,1.4040536284446716
37,1.3953246871630351
38,1.3983941078186035
39,1.3992653687795003
40,1.400893767674764
41,1.4059728781382244
42,1.4047048091888428
43,1.3997687101364136
44,1.396168013413747
45,1.4035409887631733
46,1.4013336102167766
47,1.401569128036499
48,1.4059053262074788
49,1.3993534445762634
50,1.4017193913459778
51,1.4018201629320781
52,1.3979515035947163
53,1.3990657130877178
54,1.4004881779352825
55,1.3987751404444377
56,1.3984087308247883
57,1.3966188430786133
58,1.3968570629755657
59,1.3988653620084126
60,1.4032975037892659
61,1.3972351749738057
62,1.4019731481870015
63,1.4044006665547688
64,1.3972490032513936
65,1.4016767144203186
66,1.4009092052777607
67,1.4017475644747417
68,1.3963528076807659
69,1.4022983312606812
70,1.4014000097910564
71,1.3953698078791301
72,1.4038198788960774
73,1.3976078033447266
74,1.3957682450612385
75,1.395264248053233
