epoch,train_loss
1,1.9504093130429585
2,1.5471067031224568
3,1.43891308705012
4,1.429430603981018
5,1.4241496523221333
6,1.420494516690572
7,1.4225865999857585
8,1.4238962133725483
9,1.4238311847050984
10,1.42629208167394
11,1.424542228380839
12,1.4175615509351094
13,1.4174729585647583
14,1.4222846229871113
15,1.4245868722597759
16,1.4209950764973958
17,1.4419425129890442
18,1.4298442602157593
19,1.4199875791867573
20,1.4231446385383606
21,1.4218356013298035
22,1.422415554523468
23,1.4244392315546672
24,1.428511877854665
25,1.4247329433759053
26,1.4247657855351765
27,1.4207744002342224
28,1.4209396441777546
29,1.4274595777193706
30,1.4238282442092896
31,1.42244158188502
32,1.4201239148775737
33,1.4288445909818013
34,1.4257281223932903
35,1.4173139929771423
36,1.4215964674949646
37,1.4211378693580627
38,1.4260392586390178
39,1.4204981327056885
40,1.4194145401318867
41,1.42208997408549
42,1.4227597117424011
43,1.4243595202763875
44,1.419598658879598
45,1.422384997208913
46,1.4207685788472493
47,1.4239533146222432
48,1.4221224586168926
49,1.4242443839708965
50,1.4256101648012798
51,1.4250846703847249
52,1.4207212726275127
53,1.421134392420451
54,1.4200943907101948
55,1.4232066075007122
56,1.421289602915446
57,1.4167831738789876
58,1.4182284474372864
59,1.4191094438234966
60,1.420932153860728
61,1.4183682203292847
62,1.417494773864746
63,1.4224008321762085
64,1.4214199781417847
65,1.4277435739835103
66,1.426969329516093
67,1.4217532674471538
68,1.4240622917811077
69,1.4273152351379395
70,1.4210589528083801
71,1.4255605936050415
72,1.4222983916600545
73,1.4233295520146687
74,1.4248666763305664
75,1.4204989870389302
