epoch,train_loss
1,2.1548380851745605
2,1.5716582735379536
3,1.4249783555666606
4,1.4080451130867004
5,1.4203470349311829
6,1.4083398580551147
7,1.3932469884554546
8,1.399711271127065
9,1.4056559403737385
10,1.4008479913075764
11,1.401090423266093
12,1.395544668038686
13,1.3976912101109822
14,1.403784414132436
15,1.3993828694025676
16,1.4145662983258565
17,1.40352996190389
18,1.400316596031189
19,1.3986193935076396
20,1.4013152519861858
21,1.3978096048037212
22,1.3950966199239094
23,1.4005459547042847
24,1.404021958510081
25,1.4008406400680542
26,1.3972126046816509
27,1.4053266843159993
28,1.4074740012486775
29,1.3932721416155498
30,1.406752387682597
31,1.39778999487559
32,1.402736485004425
33,1.399849772453308
34,1.3974252939224243
35,1.4025278687477112
36,1.3987501462300618
37,1.4050554037094116
38,1.3937118252118428
39,1.4006532033284504
40,1.394915521144867
41,1.3959072828292847
42,1.3951956232388814
43,1.401372234026591
44,1.4062499205271404
45,1.4049921830495198
46,1.3964103261629741
47,1.4013031721115112
48,1.399080793062846
49,1.3991021116574605
50,1.4017536441485088
51,1.3985076944033306
52,1.3979602058728535
53,1.397284706433614
54,1.3989325563112895
55,1.4024566610654194
56,1.39371657371521
57,1.3966667850812275
58,1.3977538744608562
59,1.4000792503356934
60,1.3986550370852153
61,1.4026394486427307
62,1.4025558829307556
63,1.4032835563023884
64,1.400616725285848
65,1.3960342208544414
66,1.4009759028752644
67,1.3941420118014018
68,1.4010696411132812
69,1.39915269613266
70,1.3955644170443218
71,1.3931334018707275
72,1.4020404418309529
73,1.4021215637524922
74,1.417620857556661
75,1.3968361417452495
