epoch,train_loss,val_loss
1,1.9904333829879761,
2,1.7228259325027466,
3,1.5187109470367433,
4,1.5090815782546998,
5,1.4972023248672486,1.4416881203651428
6,1.4830936670303345,
7,1.4796950101852417,
8,1.4902441263198853,
9,1.4780752420425416,
10,1.469195008277893,1.4305942058563232
11,1.4572996377944947,
12,1.4914520502090454,
13,1.4898563861846923,
14,1.476505208015442,
15,1.4532401800155639,1.4205120205879211
16,1.5228210926055907,
17,1.4618731498718263,
18,1.4768540620803834,
19,1.4823093652725219,
20,1.472705340385437,1.4318544268608093
21,1.473674464225769,
22,1.4545148134231567,
23,1.4634915828704833,
24,1.461799645423889,
25,1.4450114727020265,1.4199640154838562
26,1.4627902507781982,
27,1.454946255683899,
28,1.4704789400100708,
29,1.4816858530044557,
30,1.4605928897857665,1.4240561127662659
31,1.4736995220184326,
32,1.4622180938720704,
33,1.4554911375045776,
34,1.445464587211609,
35,1.455769991874695,1.4167968034744263
36,1.490908408164978,
37,1.459873366355896,
38,1.461401677131653,
39,1.45066339969635,
40,1.473919939994812,1.4154213070869446
41,1.4599074363708495,
42,1.4639959573745727,
43,1.4681790351867676,
44,1.4527257442474366,
45,1.4462889432907104,1.4170694947242737
46,1.4556522130966187,
47,1.467572522163391,
48,1.4641878366470338,
49,1.474796223640442,
50,1.471064043045044,1.418505609035492
51,1.474397611618042,
52,1.451353621482849,
53,1.4469507217407227,
54,1.4575449466705321,
55,1.4528963804244994,1.4131564497947693
56,1.4622247219085693,
57,1.4651228427886962,
58,1.4554743766784668,
59,1.4659298419952393,
60,1.4504515647888183,1.4253059029579163
61,1.4509515047073365,
62,1.4666134119033813,
63,1.4539146661758422,
64,1.4561460971832276,
65,1.4546934604644775,1.4106985926628113
66,1.465972352027893,
67,1.4688842296600342,
68,1.4517966508865356,
69,1.5018807888031005,
70,1.461478042602539,1.425966739654541
71,1.4696713209152221,
72,1.479713463783264,
73,1.4642919778823853,
74,1.4573718309402466,
75,1.4540220260620118,1.4227826595306396
