epoch,train_loss,val_loss
1,2.067455530166626,
2,1.7959741895849055,
3,1.7828560634092852,
4,1.7905216758901423,
5,1.7885694395412097,1.8635894854863484
6,1.7758359800685535,
7,1.7806901389902288,
8,1.782323869791898,
9,1.7781832976774736,
10,1.7825960462743586,1.8577703634897869
11,1.7847070368853482,
12,1.7774222764101895,
13,1.7786285118623213,
14,1.779052972793579,
15,1.78431236743927,1.8735367854436238
16,1.7816168394955723,
17,1.7909222841262817,
18,1.7837459282441572,
19,1.7801291075619785,
20,1.7773607644167813,1.8740121523539226
21,1.7830982208251953,
22,1.7814282395622947,
23,1.7804009047421543,
24,1.7891408638520674,
25,1.7774480798027732,1.8580079873402913
26,1.7795050794428044,
27,1.7872446450320156,
28,1.7784294540231878,
29,1.778860785744407,
30,1.7834361574866555,1.8554836908976238
31,1.7850850820541382,
32,1.7845205718820745,
33,1.7772700894962659,
34,1.7855148315429688,
35,1.7850964611226863,1.8575199842453003
36,1.7772455974058672,
37,1.7808161865581165,
38,1.7817073193463413,
39,1.7882500236684626,
40,1.7928762435913086,1.870705008506775
41,1.7846030647104436,
42,1.7847309654409236,
43,1.7839268879456953,
44,1.783112276684154,
45,1.779406720941717,1.8614539702733357
46,1.7807054086164995,
47,1.7799237316304988,
48,1.7770216139880093,
49,1.783606930212541,
50,1.7812385233965786,1.8570864995320637
51,1.7817289504137905,
52,1.7879834608598189,
53,1.7882972955703735,
54,1.7818523320284756,
55,1.7788425792347302,1.8617684443791707
56,1.7789764946157283,
57,1.786029739813371,
58,1.7829546278173274,
59,1.7839124961332842,
60,1.779888088052923,1.8688102563222249
61,1.7856576551090588,
62,1.777585658160123,
63,1.7814406698400325,
64,1.7787307934327559,
65,1.7783980152823708,1.8554580211639404
66,1.782475926659324,
67,1.784553202715787,
68,1.778854857791554,
69,1.78301279111342,
70,1.7807577089829878,1.8621762990951538
71,1.785974545912309,
72,1.7872115698727695,
73,1.784708402373574,
74,1.7811889973553745,
75,1.777501409704035,1.8564855257670085
