epoch,train_loss,val_loss
1,2.7241711616516113,
2,1.6458937406539917,
3,1.6217074155807496,
4,1.4469719409942627,
5,1.445185947418213,1.6487041115760803
6,1.4519036054611205,
7,1.4474589586257935,
8,1.4355923414230347,
9,1.4495945215225219,
10,1.4359071731567383,1.5794377326965332
11,1.4556657791137695,
12,1.4350555896759034,
13,1.4611111164093018,
14,1.4338035583496094,
15,1.4452265501022339,1.5866526365280151
16,1.438277816772461,
17,1.4321747541427612,
18,1.4287604093551636,
19,1.4326032161712647,
20,1.4276615381240845,1.5921415090560913
21,1.4368910312652587,
22,1.4251615762710572,
23,1.4487069129943848,
24,1.43712375164032,
25,1.4395758867263795,1.616442859172821
26,1.4313454389572144,
27,1.4301453828811646,
28,1.4318451404571533,
29,1.4283264398574829,
30,1.4347752571105956,1.5703171491622925
31,1.4314315557479858,
32,1.4356154918670654,
33,1.4254571676254273,
34,1.4274303913116455,
35,1.4375272750854493,1.5761223435401917
36,1.4440424680709838,
37,1.4307119131088257,
38,1.4304530143737793,
39,1.4321877002716064,
40,1.4285524845123292,1.579219937324524
41,1.432742714881897,
42,1.433186650276184,
43,1.4447786331176757,
44,1.4333455562591553,
45,1.4339364290237426,1.5931957960128784
46,1.440215539932251,
47,1.4433873176574707,
48,1.4346412420272827,
49,1.4292479515075684,
50,1.4378885984420777,1.5723690390586853
51,1.4323622465133667,
52,1.4386641025543212,
53,1.4330873250961305,
54,1.451350450515747,
55,1.43420090675354,1.5574185252189636
56,1.4296871423721313,
57,1.4349492073059082,
58,1.4334420204162597,
59,1.4307134628295899,
60,1.4460955142974854,1.5699738264083862
61,1.4249572038650513,
62,1.433686113357544,
63,1.4348528623580932,
64,1.4415297985076905,
65,1.4592877626419067,1.6035529971122742
66,1.4283344984054565,
67,1.4295392990112306,
68,1.4348522424697876,
69,1.436852502822876,
70,1.427333927154541,1.5859344601631165
71,1.4334308624267578,
72,1.4341909885406494,
73,1.4367604494094848,
74,1.4304282903671264,
75,1.4353464603424073,1.5958049893379211
