"model_asset","n","mean","sd","min","max","q25","q75","kurtosis","skewness","type"
"eGARCH_AMZN",6771,0.0351796516272842,1.03525477477181,-3.8741405,3.4672487,-0.672920525,0.73490665,-0.0987097368127525,0.00828868516901492,"NF"
"eGARCH_EURUSD",2257,16.6550579833287,158.472680971003,-539.8312,544.44763,-85.550766,119.97771,0.0676152501507552,-0.0232784705366344,"NF"
"eGARCH_GBPUSD",4514,19.1798280127523,81.1922038832719,-247.63414,357.19705,-35.1535175,71.6931425,0.0717875837359174,0.0375530858643262,"NF"
"eGARCH_MSFT",2257,-0.0666183628540297,1.27504738332805,-4.5059724,4.575619,-0.9235808,0.7602066,0.135228763473286,0.0570543382285118,"NF"
"eGARCH_NVDA",6771,0.0198652064034013,1.04508395729267,-3.5553155,4.0453625,-0.6967641,0.721685875,-0.0131670699933633,0.0281554285891741,"NF"
"eGARCH_USDZAR",6771,0.0460923389516777,1.00156544352279,-4.0640903,3.854169,-0.6123253,0.718869865,0.219691064262844,-0.00603906585361901,"NF"
"sGARCH_NVDA",4515,-0.28586124077925,1.46170226121194,-10.3627202991755,12.9264919881193,-1.00363117772454,0.445752442773219,6.55211529652939,0.276020823150965,"Standard"
"TGARCH_NVDA",4515,-0.0607137069342865,1.93323647438006,-14.1491989605614,31.4260156345373,-0.909634382483445,0.78339144629827,23.4053704147049,1.3932371250521,"Standard"
"sGARCH_MSFT",4515,-0.083840969679693,1.49449522011851,-22.4876960705222,11.4622885974568,-0.797862928769751,0.679388837934631,16.4001270934683,-0.594273026992919,"Standard"
"TGARCH_MSFT",4515,-0.0856216433827242,2.07061106472561,-52.8183107517648,33.0330037731278,-0.923741953718126,0.801966958382688,111.744513085099,-2.57197508798142,"Standard"
"sGARCH_AMZN",4515,-0.534776316177478,1.44420426949452,-9.49619737628385,19.3397134466155,-1.24173412529154,0.149105175299365,21.7678558415666,1.550459480697,"Standard"
"TGARCH_AMZN",4515,-0.0319399161693651,2.18177140681108,-26.9611350029071,49.5199713050872,-0.95030252080079,0.770973796934145,85.2588588153126,3.99274645622026,"Standard"
"sGARCH_EURUSD",4515,0.113007255253204,1.51279513516232,-13.0417515395697,11.0161994711471,-0.615441353173022,0.871474204971845,5.38691722778347,-0.303605395926867,"Standard"
"eGARCH_EURUSD",4515,22.6104492237605,93.3520293049287,-355.807847868497,3011.65916215242,4.74337195140407e-05,15.9247814700957,295.254002660548,13.2724843439317,"Standard"
"TGARCH_EURUSD",4515,0.0144051277613607,1.9949021429178,-29.4224647524907,24.3723929942326,-0.789058394780655,0.880538605137488,26.4365588307986,-0.993025110908818,"Standard"
"sGARCH_GBPUSD",4515,0.0354806873596851,1.46843174220196,-9.94013618037098,10.3236710983515,-0.724109326201168,0.805334238703307,3.49780761346868,-0.085489459988176,"Standard"
"TGARCH_GBPUSD",4515,0.201038839268025,1.86941397009696,-20.6802589009937,14.7941587708778,-0.660731907073532,1.03345876858373,9.58296449125379,-0.351291284360612,"Standard"
"sGARCH_USDZAR",4515,-0.0782183371166354,1.46516279442882,-8.25740587376472,10.6714089895414,-0.91396885554703,0.685507071479026,3.20062505752396,0.415040929437456,"Standard"
"TGARCH_USDZAR",4515,-0.0279488147315657,1.78100562110902,-10.8997060415882,20.100074522624,-0.958437429999884,0.824278157125206,10.2802268821779,0.815903963218669,"Standard"
