"Model","Distribution","Asset","AIC","BIC","LogLikelihood","MSE","MAE","SplitType","log_mse","log_mae","is_extreme"
"eGARCH","sstd","EURUSD",49151.6959605564,49190.1869233515,-24569.8479802782,5.87629146285036e+184,5.10868152395141e+90,"Chrono",184.76910332857,90.7083088295365,TRUE
"TGARCH","sstd","EURUSD",-32326.2491294199,-32287.7581666248,16169.12456471,1.4148079569911e+219,3.63443341526979e+108,"Chrono",219.150697493656,108.560436716763,TRUE
"TGARCH","sstd","GBPUSD",-31954.3769009613,-31915.8859381662,15983.1884504807,1.65644087729565e+179,3.28722110836606e+88,"Chrono",179.219175939389,88.5168289170155,TRUE
"TGARCH","sstd","USDZAR",-26765.1554633125,-26726.6645005174,13388.5777316562,2.54831431065344e+119,4.69225243573673e+58,"Chrono",119.406252993115,58.6713813684261,TRUE
"TGARCH","sstd","NVDA",-17940.7188127727,-17902.2278499776,8976.35940638635,7.40321035035336e+196,1.88807256888648e+97,"Chrono",196.869420089339,97.2760186825792,TRUE
"TGARCH","sstd","MSFT",-23433.1284200857,-23394.6374572906,11722.5642100428,1.16319957982293e+227,2.20505241489672e+112,"Chrono",227.065654236637,112.343418917264,TRUE
