epoch,train_loss
1,1.9432623982429504
2,1.4830449024836223
3,1.4386096795399983
4,1.4311848680178325
5,1.4299731850624084
6,1.4336990714073181
7,1.4325377742449443
8,1.4282056490580242
9,1.4258143305778503
10,1.4258359273274739
11,1.4193742275238037
12,1.4196060299873352
13,1.4208125670750935
14,1.4214894771575928
15,1.4275476336479187
16,1.424717903137207
17,1.4322164456049602
18,1.4288965066274006
19,1.4197835524876912
20,1.419655203819275
21,1.420602262020111
22,1.4248993198076885
23,1.4191479285558064
24,1.4199652075767517
25,1.4219326575597127
26,1.423765520254771
27,1.4212153752644856
28,1.4208770394325256
29,1.4207971890767415
30,1.4229814807573955
31,1.422025461991628
32,1.4228705962498982
33,1.427150845527649
34,1.4227809309959412
35,1.4353305101394653
36,1.4215142528216045
37,1.419183333714803
38,1.4209096034367878
39,1.4235698978106182
40,1.421001414457957
41,1.4274738828341167
42,1.4228371381759644
43,1.4203627506891887
44,1.4197144905726116
45,1.422252118587494
46,1.422728717327118
47,1.4240361253420513
48,1.4231784145037334
49,1.4190271695454915
50,1.4214228789011638
51,1.4220937093098958
52,1.4201412598292034
53,1.4189379811286926
54,1.4221755067507427
55,1.42215363184611
56,1.4207536776860554
57,1.4208304484685261
58,1.4232906103134155
59,1.4249533613522847
60,1.420387049516042
61,1.4207643270492554
62,1.4185966849327087
63,1.4237386186917622
64,1.4246296087900798
65,1.4190092086791992
66,1.4208070635795593
67,1.4197283585866292
68,1.4191112915674846
69,1.4190104405085247
70,1.4209216435750325
71,1.4160583019256592
72,1.4250749150911968
73,1.4188272555669148
74,1.4213390350341797
75,1.417197326819102
