epoch,train_loss,val_loss
1,2.59429612159729,
2,1.5954275369644164,
3,1.6203670740127563,
4,1.4541717290878295,
5,1.4313778638839723,1.56862872838974
6,1.423887276649475,
7,1.413458490371704,
8,1.428050661087036,
9,1.4131678104400636,
10,1.4096990823745728,1.5085021257400513
11,1.4189281940460206,
12,1.413690710067749,
13,1.4156810283660888,
14,1.4107324838638307,
15,1.421179962158203,1.507841169834137
16,1.416551399230957,
17,1.4196091651916505,
18,1.4179779529571532,
19,1.4159055471420288,
20,1.4129026412963868,1.519472360610962
21,1.4214497327804565,
22,1.4159284591674806,
23,1.4113526821136475,
24,1.4185375452041626,
25,1.422792172431946,1.5146127939224243
26,1.4166751384735108,
27,1.4195736169815063,
28,1.4206328868865967,
29,1.4166811227798461,
30,1.4204777002334594,1.504410207271576
31,1.421656060218811,
32,1.4089248180389404,
33,1.4276859521865846,
34,1.4251940965652465,
35,1.4200466394424438,1.5197889804840088
36,1.4172303199768066,
37,1.4247052431106568,
38,1.4214072465896606,
39,1.4148760557174682,
40,1.4237545490264893,1.5097283124923706
41,1.4194825887680054,
42,1.4183984994888306,
43,1.4287596225738526,
44,1.4187053442001343,
45,1.4183989763259888,1.5064791440963745
46,1.432976531982422,
47,1.4190897703170777,
48,1.4106527805328368,
49,1.4205803155899048,
50,1.4160007953643798,1.5222793221473694
51,1.4127059936523438,
52,1.4104517936706542,
53,1.4200760126113892,
54,1.4163990020751953,
55,1.4136698722839356,1.5126466751098633
56,1.4239257097244262,
57,1.4218796491622925,
58,1.4141780138015747,
59,1.4126529455184937,
60,1.4084770917892455,1.5199347138404846
61,1.4113771200180054,
62,1.4177663803100586,
63,1.4160578012466432,
64,1.4110668659210206,
65,1.4094177961349488,1.5064117908477783
66,1.422553825378418,
67,1.4197130918502807,
68,1.4132637977600098,
69,1.4209022045135498,
70,1.4133657932281494,1.5093603730201721
71,1.4184519290924071,
72,1.4207994937896729,
73,1.4124149322509765,
74,1.4083044052124023,
75,1.4156019687652588,1.5047723054885864
