"Asset","Model","orig_acf_sum","nf_acf_sum","acf_ratio","orig_runs_stat","nf_runs_stat","orig_runs_pval","nf_runs_pval","orig_random","nf_random","orig_turning_pval","nf_turning_pval","orig_turning_random","nf_turning_random","orig_vr","nf_vr","vr_diff","orig_dominant_freq","nf_dominant_freq","freq_ratio","nf_worse_structure"
"NVDA","sGARCH_norm",0.299501613412398,0.273003204693752,0.911524988407459,NA,NA,NA,NA,FALSE,FALSE,0.0153695797900941,0.342630298903167,FALSE,TRUE,0.490192563046815,0.449946218282492,0.0402463447643235,6.09671765088698,7.4304117603604,1.21875608907022,FALSE
"MSFT","sGARCH_norm",0.390721236230147,0.363487001207555,0.930297530573561,NA,NA,NA,NA,FALSE,FALSE,0.00722382215277673,0.650843340736953,FALSE,TRUE,5.05416738132131,6.35924685693321,1.3050794756119,6.69039563276361,8.66927092340662,1.29577851584027,FALSE
"AMZN","sGARCH_norm",0.23923466229019,0.361002004772373,1.50898703940518,NA,NA,NA,NA,FALSE,FALSE,0.397116082579839,0.165450251081691,TRUE,TRUE,4.55752098350729,4.17066995844161,-0.38685102506568,7.05227586436898,8.46766940253499,1.20070025129294,TRUE
"EURUSD","sGARCH_norm",0.265132252775879,0.369517666853268,1.39371073486721,NA,NA,NA,NA,FALSE,FALSE,0.030714143561233,0.530143221036355,FALSE,TRUE,0.00542135003764131,-0.539708294635565,0.545129644673206,6.28310431384516,9.94711274803537,1.58315257095388,TRUE
"GBPUSD","sGARCH_norm",0.259355854814169,0.191607992416785,0.738784141017651,NA,NA,NA,NA,FALSE,FALSE,0.579039083966399,0.260937758922483,TRUE,TRUE,0.213731911522615,0.976700816754568,-0.762968905231953,6.15806887831665,8.8075476589623,1.43024507081673,FALSE
"USDZAR","sGARCH_norm",0.224006723171276,0.316205902390163,1.4115911250949,NA,NA,NA,NA,FALSE,FALSE,0.474370781816597,0.501846961371621,TRUE,TRUE,0.0147440555927806,0.0176329687820759,-0.00288891318929541,6.95936453995951,9.19557998502997,1.32132466006494,TRUE
"NVDA","sGARCH_sstd",0.279189591206152,0.301890134066835,1.08130870052359,NA,NA,NA,NA,FALSE,FALSE,0.00553811547436567,0.365369064536163,FALSE,TRUE,0.0128616880337841,0.374807067912119,-0.361945379878335,5.69895162585684,11.4624829643461,2.01133185836136,FALSE
"MSFT","sGARCH_sstd",0.357113550676418,0.244941975559873,0.685893814715019,NA,NA,NA,NA,FALSE,FALSE,0.0577011000687633,0.439058257652066,TRUE,TRUE,-0.31089386127098,0.411984638288042,-0.722878499559022,6.7410456275801,10.0570728843617,1.49191585993937,FALSE
"AMZN","sGARCH_sstd",0.244324254769951,0.304883257925312,1.24786324719329,NA,NA,NA,NA,FALSE,FALSE,0.90702040136397,0.0368196610186914,TRUE,FALSE,-0.0624076376579482,0.529081654926164,-0.591489292584112,7.06206870994253,8.72945082304332,1.23610392104417,TRUE
"EURUSD","sGARCH_sstd",0.265102103057522,0.322046317916033,1.2148010679725,NA,NA,NA,NA,FALSE,FALSE,0.0245535701071942,0.704248016836773,FALSE,TRUE,0.0273251105156119,0.0141362489889045,0.0131888615267074,6.69172383961666,7.92840665116843,1.18480780755331,TRUE
"GBPUSD","sGARCH_sstd",0.259216161836034,0.360509818542681,1.39076906312161,NA,NA,NA,NA,FALSE,FALSE,0.640363501452018,0.918599555767291,TRUE,TRUE,0.211070257182889,1.07470860907991,-0.714221133737205,6.13853693041851,9.71814908455181,1.58313767510221,TRUE
"USDZAR","sGARCH_sstd",0.231762125107512,0.253573443308159,1.09411079653558,NA,NA,NA,NA,FALSE,FALSE,0.650843340736953,0.941807283355167,TRUE,TRUE,-0.00846863722746565,0.025794247032518,-0.0342628842599837,7.00539856510952,8.7029289478632,1.24231745945309,FALSE
