epoch,train_loss,val_loss
1,1.9894607067108154,
2,1.4912849903106689,
3,1.4214422225952148,
4,1.3956693410873413,
5,1.386224913597107,1.166386604309082
6,1.3655441045761108,
7,1.3635862827301026,
8,1.3660039901733398,
9,1.3590146541595458,
10,1.3624911546707152,1.1689332723617554
11,1.3946228742599487,
12,1.368920636177063,
13,1.3601613759994506,
14,1.4005076885223389,
15,1.366427493095398,1.2392863035202026
16,1.376669669151306,
17,1.356377911567688,
18,1.362072491645813,
19,1.3624005556106566,
20,1.3497408390045167,1.19434255361557
21,1.3576736211776734,
22,1.3650712013244628,
23,1.3461012840270996,
24,1.3707302331924438,
25,1.3630510091781616,1.2120589017868042
26,1.3529229640960694,
27,1.3618398904800415,
28,1.373200035095215,
29,1.3591623544692992,
30,1.3496024370193482,1.1887724995613098
31,1.3533110618591309,
32,1.3529584646224975,
33,1.3514917612075805,
34,1.3611292362213134,
35,1.3521326303482055,1.183158814907074
36,1.356952428817749,
37,1.3529508590698243,
38,1.3547313690185547,
39,1.3481408834457398,
40,1.3597498416900635,1.2002897262573242
41,1.3603081703186035,
42,1.3673232316970825,
43,1.3587146520614624,
44,1.3551398754119872,
45,1.349502730369568,1.1774937510490417
46,1.348879837989807,
47,1.3617490530014038,
48,1.3556882381439208,
49,1.3733745574951173,
50,1.3595214366912842,1.187085509300232
51,1.3541482448577882,
52,1.3616740703582764,
53,1.3650084018707276,
54,1.3590672492980957,
55,1.3828159332275392,1.164346158504486
56,1.3624902963638306,
57,1.3483673810958863,
58,1.3432255268096924,
59,1.3798271417617798,
60,1.3597570419311524,1.2228721976280212
61,1.3617677688598633,
62,1.3544766902923584,
63,1.3539159059524537,
64,1.3549196004867554,
65,1.3600255012512208,1.1934465765953064
66,1.3506998062133788,
67,1.355909538269043,
68,1.3496485948562622,
69,1.3628472328186034,
70,1.3629387617111206,1.1840566396713257
71,1.3534858226776123,
72,1.352834367752075,
73,1.354793334007263,
74,1.348033571243286,
75,1.3788814544677734,1.168187141418457
