epoch,train_loss,val_loss
1,2.0583506759844328,
2,1.8314250707626343,
3,1.814582805884512,
4,1.8265005852046765,
5,1.8178849471242804,1.835978627204895
6,1.8214664020036395,
7,1.8122047938798602,
8,1.81439114871778,
9,1.8129001604883295,
10,1.8187409011941207,1.844061589241028
11,1.8205606560958059,
12,1.816109431417365,
13,1.8249521318234896,
14,1.8138286816446405,
15,1.8139524899030988,1.8420189380645753
16,1.8208487159327458,
17,1.8179729925958734,
18,1.8125764696221602,
19,1.8182469920108193,
20,1.8180947491997166,1.8398190498352052
21,1.8169414118716591,
22,1.8091985740159686,
23,1.8133726872895892,
24,1.8168462326652126,
25,1.8140474871585244,1.834145450592041
26,1.8174706571980526,
27,1.8123957357908551,
28,1.8103086007268805,
29,1.8145997900711863,
30,1.8144542731736835,1.8364727258682252
31,1.8149305707529972,
32,1.8228161272249723,
33,1.812066071911862,
34,1.8122042292042781,
35,1.8117275802712691,1.8348212480545043
36,1.819264857392562,
37,1.8126406795100163,
38,1.8112575819617824,
39,1.8116482433519865,
40,1.8131621511358964,1.834141230583191
41,1.8160777782139026,
42,1.8150299034620587,
43,1.8155228715193898,
44,1.816694736480713,
45,1.8152849109549272,1.8512792110443115
46,1.8194354960792942,
47,1.8154135440525256,
48,1.81391221598575,
49,1.8181967045131482,
50,1.8166685041628385,1.8541034936904908
51,1.818930236916793,
52,1.825799546743694,
53,1.8204018881446438,
54,1.817444318219235,
55,1.822552530389083,1.8472623348236084
56,1.8147266914969997,
57,1.8120178548913253,
58,1.8160261417690076,
59,1.8155064645566439,
60,1.8252030548296476,1.8384122133255005
61,1.8237135912242688,
62,1.8161249035283138,
63,1.811529981462579,
64,1.812675814879568,
65,1.82403438342245,1.835131287574768
66,1.8126265688946372,
67,1.814339518547058,
68,1.821232325152347,
69,1.8161326584063078,
70,1.812656697474028,1.8376272439956665
71,1.813775846832677,
72,1.813255786895752,
73,1.8136624662499679,
74,1.8182459755947715,
75,1.8154135503266986,1.844060492515564
