epoch,train_loss,val_loss
1,1.6757275104522704,
2,1.5222206115722656,
3,1.4403497695922851,
4,1.425629162788391,
5,1.4230691194534302,1.4708964228630066
6,1.4127598524093627,
7,1.3990672826766968,
8,1.411989974975586,
9,1.4112548351287841,
10,1.410966730117798,1.4876219034194946
11,1.405463171005249,
12,1.4167968034744263,
13,1.4130518198013307,
14,1.4034475803375244,
15,1.405306077003479,1.4776889085769653
16,1.3977861166000367,
17,1.402237844467163,
18,1.400433325767517,
19,1.4052180767059326,
20,1.4003063201904298,1.4660935997962952
21,1.4036008596420289,
22,1.4026988744735718,
23,1.4038397073745728,
24,1.4032054662704467,
25,1.4010156631469726,1.471354365348816
26,1.400307559967041,
27,1.407910203933716,
28,1.4001989603042602,
29,1.4013922452926635,
30,1.4052049398422242,1.466977596282959
31,1.405264687538147,
32,1.4014073133468627,
33,1.4077452898025513,
34,1.4017727613449096,
35,1.4062341928482056,1.4700440764427185
36,1.4075189590454102,
37,1.4041478157043457,
38,1.4032373189926148,
39,1.4037478923797608,
40,1.3990877151489258,1.4752336144447327
41,1.414323377609253,
42,1.4166377067565918,
43,1.3987714529037476,
44,1.4087889194488525,
45,1.4081020116806031,1.4664288759231567
46,1.3994242906570435,
47,1.3999778270721435,
48,1.4002610206604005,
49,1.4014278173446655,
50,1.40734703540802,1.4666042923927307
51,1.3997871160507203,
52,1.4016007423400878,
53,1.4047762870788574,
54,1.4059458255767823,
55,1.3998476982116699,1.4658616185188293
56,1.4080504894256591,
57,1.4076912879943848,
58,1.4023667097091674,
59,1.3988399267196656,
60,1.4027623176574706,1.4664543271064758
61,1.4074607849121095,
62,1.398073101043701,
63,1.404619288444519,
64,1.3995235204696654,
65,1.3963207006454468,1.4728589057922363
66,1.4001097202301025,
67,1.404005265235901,
68,1.416323184967041,
69,1.4031314373016357,
70,1.4131958484649658,1.464874804019928
71,1.401739501953125,
72,1.4060899019241333,
73,1.3993316411972045,
74,1.4023338079452514,
75,1.4104986906051635,1.462982714176178
