"Model","Distribution","N","Mean_MSE_NF_GARCH","Mean_MSE_Standard","Mean_MAE_NF_GARCH","Mean_MAE_Standard","Mean_AIC_NF_GARCH","Mean_AIC_Standard","MSE_Improvement_Pct","MAE_Improvement_Pct"
"TGARCH","sstd",6,0.000354956494493567,5.94437263195344e+37,0.0114916145174231,495480725121196672,-16492.244919545,-16492.244919545,100,100
"eGARCH","sstd",1,0.0340401235620799,6.31900262580154e+138,0.136455701792049,2.16996834662478e+68,635.787255489474,635.787255489474,100,100
"gjrGARCH","sstd",6,0.000354359301181795,0.000445736301461501,0.0114872701330868,0.0126079045451663,-17512.3222721118,-17512.3222721118,20.5002374677797,8.88834784610694
"sGARCH","norm",6,0.000369080617213171,3.29130484982847,0.0117845885225423,0.317372015862975,-15337.514200342,-15337.514200342,99.9887861916762,96.2868217947639
"sGARCH","sstd",6,0.00035429875593098,3.5559196884804,0.011480154573704,0.205412486841088,-17180.8762956412,-17180.8762956412,99.9900363678888,94.4111700557983
