Model,Asset,KS_distance,Wasserstein_distance,Tail_index_Std,Skewness_Std,Kurtosis_Std,Tail_index_NF,Skewness_NF,Kurtosis_NF
sGARCH,EURUSD,0.08211490178703296,0.15621789457255755,3.156310311462806,-0.41813807085043864,5.97776447874992,4.767974141508378,0.06033720085531818,0.055291732045215536
sGARCH,GBPUSD,0.06586914783636097,0.1364724410925449,3.155244344051184,-0.1288155229695195,4.18162205654484,4.560452512362371,-0.006613146621093103,0.05532757103385011
sGARCH,USDZAR,0.05036183724708321,0.10957836978929791,3.25856947811445,0.5155001137957844,3.3614330558334595,4.741167376529045,0.05812491558676997,0.01754126819328583
sGARCH,NVDA,0.08034263771968697,0.17448035307584958,2.722294528636462,0.6918267966045422,10.577472670003415,4.6601594191512605,-0.04096534414769915,-0.05199060549244816
sGARCH,MSFT,0.06631221385319747,0.15976168897107232,2.9485527016698354,-0.2907673446187378,14.593492906927345,4.614008899869901,0.043364833868327804,0.10757343361271055
sGARCH,AMZN,0.09392999556933979,0.21963448576865707,2.614386166130035,2.379353398797065,36.4314407849418,4.5540294090022115,-0.00892907261576997,0.002725871381660472
eGARCH,EURUSD,0.310146211785556,0.6025611410381498,1.170163677161095,2.7659355549188374,75.68493960165684,4.274754011175234,-0.0014960075984690171,0.24848922827359088
eGARCH,GBPUSD,0.33451484271156406,0.6663815693883732,1.034595391713684,-5.14137908795032,336.33638265652553,4.458468898832784,-0.0034665450668125595,0.06235566024847117
eGARCH,USDZAR,,,,,,,,
eGARCH,NVDA,0.16349136021267174,0.23683758506177233,2.476717313899689,-1.8795943853993944,10.182736350955137,4.769882464683311,0.01801313038317629,-0.10846959145049873
eGARCH,MSFT,,,,,,,,
eGARCH,AMZN,,,,,,,,
TGARCH,EURUSD,0.0958499483089647,0.20881762561929407,2.8100383442391395,-0.9378405403415387,20.93538075825784,4.720060908602856,-0.006022580501866981,-0.03679886256249043
TGARCH,GBPUSD,0.08994240141781126,0.20757674957609715,2.4717556052603213,-0.4180647603719255,8.478608656282653,5.031617338096372,-0.01222114949874478,-0.08657290584048782
TGARCH,USDZAR,0.0704474966770049,0.16318590652117165,2.819651362832532,0.7390505727338995,7.992461281243772,4.745682795385929,0.0510634002735683,-0.013360971048453685
TGARCH,NVDA,0.10205287254467588,0.22532125728644756,2.5022876396635723,1.7440193551035874,30.95405921007108,4.641930390994182,0.006657857769424206,-0.006737688342369541
TGARCH,MSFT,0.09112391079604193,0.2157907632081286,2.5836781967926252,-0.8803371141266086,35.62163183427201,4.914158413612986,0.039382076765353095,-0.021905071270361454
TGARCH,AMZN,0.11180032491507896,0.2603369425932202,2.30017176042058,2.3026055677737074,45.205169577312795,4.672439339395655,0.023928911630775963,0.10355231380303387
gjrGARCH,EURUSD,0.04519273371732385,0.09383406324114844,3.311632919227408,-0.29006636548549775,2.613329515657454,4.711395161595274,0.030552317319233288,-0.03608598767214355
gjrGARCH,GBPUSD,0.04430660168365083,0.08603681629678546,3.5747100917859562,-0.5072455464167456,4.445803105828536,5.169452926532598,0.055676042325069126,-0.10706139950143845
gjrGARCH,USDZAR,0.173091123910796,0.2488879261978579,3.5003374974327084,0.49448267345833935,9.626965757119441,4.581218239775487,-0.033839648518475,-0.04085080790540596
gjrGARCH,NVDA,0.057303204844188466,0.14449948322449627,2.8640201912586494,0.7362774321106077,14.795262006537616,4.721993852276397,-0.018262907894522007,-0.007377980607063073
gjrGARCH,MSFT,0.05759858218874614,0.1381659944395332,2.96609729169343,-0.33488748241965594,10.486268361815494,4.368651140493059,-0.018035993978772744,0.05307066723343512
gjrGARCH,AMZN,0.06660759119775517,0.18098487392221077,2.591150959926684,1.0983154266834725,18.16814634460533,4.881543600713078,0.010551386727651131,-0.05586305309212536
