"Source","N_Observations","Mean_MSE","Median_MSE","Mean_MAE","Median_MAE","Mean_AIC","Median_AIC","Mean_BIC","Median_BIC"
"NF_GARCH",25,0.00170545178299988,0.00035741869281663,0.0165566987309035,0.0133030522984476,-15940.078354814,-16711.3634303374,-15908.4821908721,-16678.6626235911
"Standard",25,2.52760105032062e+137,0.366918678159065,8.67987338649912e+66,0.177136102371628,-15940.078354814,-16711.3634303374,-15908.4821908721,-16678.6626235911
