"Model","N_Assets","Mean_MSE","Mean_MAE","Mean_AIC","Mean_BIC","Mean_LogLik"
"gjrGARCH",6,0.000354359301181795,0.0114872701330868,-17512.3222721118,-17476.4175403596,8762.1611360559
"TGARCH",6,0.000354956494493567,0.0114916145174231,-16492.244919545,-16456.3401877928,8252.12245977249
"sGARCH",12,0.000361689686572076,0.0116323715481232,-16259.1952479916,-16232.2666991774,8134.0976239958
"eGARCH",1,0.0340401235620799,0.136455701792049,635.787255489474,671.691987241692,-311.893627744737
