"Model","Distribution","N","Mean_MSE_NF_GARCH","Mean_MSE_Standard","Mean_MAE_NF_GARCH","Mean_MAE_Standard","Mean_AIC_NF_GARCH","Mean_AIC_Standard","MSE_Improvement_Pct","MAE_Improvement_Pct"
"TGARCH","sstd",6,0.000354965353094005,0.000359327085896616,0.0114919689675483,0.0116041972925205,-16492.244919545,-16492.244919545,1.21386140199463,0.967135616045151
"eGARCH","sstd",1,0.000507650148030649,0.000650594630148603,0.0161296690515369,0.0188741769339226,635.787255489474,635.787255489474,21.9713590450791,14.541073192193
"gjrGARCH","sstd",6,0.000354121096211184,0.000355250787807204,0.0114829136709332,0.0115059567174912,-17512.3222721118,-17512.3222721118,0.31799833660976,0.200270582653899
"sGARCH","norm",6,0.00037150952613407,0.000364336427127679,0.0118346604055098,0.0117739750196379,-15337.514200342,-15337.514200342,-1.9688119200546,-0.515419692760528
"sGARCH","sstd",6,0.00035430494316404,0.000355630294737505,0.0114778767998602,0.0114975593164883,-17180.8762956412,-17180.8762956412,0.372676791903721,0.171188650446507
