"Asset_Class","Source","n_assets","mean_MSE","median_MSE","mean_MAE","median_MAE","mean_AIC","median_AIC"
"Equity","NF_GARCH",3,0.000653712481787133,0.000499561834646966,0.0178468649545335,0.0158725642079564,-12501.926941861,-13272.5886735945
"Equity","Standard",3,0.000664356404936642,0.000512966953772271,0.0180904800525904,0.0162197665776192,-12501.926941861,-13272.5886735945
"FX","NF_GARCH",3,5.15661163681425e-05,3.43469282135627e-05,0.00515374530880925,0.00431334877773264,-19664.7423855131,-20242.3539394943
"FX","Standard",3,5.176907828219e-05,3.46579025890131e-05,0.00516567219392294,0.00433275138180204,-19664.7423855131,-20242.3539394943
