Source,N_Observations,Mean_MSE,Median_MSE,Mean_MAE,Median_MAE,Mean_AIC,Median_AIC,Mean_BIC,Median_BIC
NF_GARCH,24,0.0003581737922048783,0.0002279829572577279,0.011560906936689075,0.01049164035592437,-16630.73942191,-16712.96539284035,-16599.322781626815,-16683.044783046847
Standard,15,0.3482331043276642,0.0434668026779057,0.10183095063873433,0.0581959240540824,-16951.826966263285,-16714.5673553433,-16921.108473541954,-16687.4269425026
