"Asset","Model","Dist.","Std_MSE","Std_MAE","NF_MSE","NF_MAE","MSE_Impr_Pct","MAE_Impr_Pct"
"AMZN","TGARCH","sstd",0.000512966953772271,0.0162197665776192,0.000499331428163572,0.0158667967078021,2.65816842750312,2.17617108192015
"AMZN","eGARCH","sstd",0.000650594630148603,0.0188741769339226,0.000507650148030649,0.0161296690515369,21.9713590450791,14.541073192193
"AMZN","gjrGARCH","sstd",0.000500956539412569,0.0159139676634201,0.0004976064836022,0.0158551210489624,0.668731825378965,0.369779653335392
"AMZN","sGARCH","norm",0.000539147728467235,0.0170295164322842,0.000564905908803178,0.0173116921022071,-4.77757374758342,-1.65697993272409
"AMZN","sGARCH","sstd",0.00050213825635879,0.0159104144455574,0.000499561834646966,0.0158725642079564,0.513090106001221,0.237895987753915
"EURUSD","TGARCH","sstd",2.24197509651795e-05,0.00353001868559982,2.20780623595792e-05,0.00350005998084207,1.52405174406702,0.848684027650111
"EURUSD","gjrGARCH","sstd",2.23025315142103e-05,0.003526554845791,2.20734883384139e-05,0.0034986759293063,1.02698285910038,0.790542546586904
"EURUSD","sGARCH","norm",2.20213340041746e-05,0.00350095176524737,2.21586308442225e-05,0.00350657522709918,-0.623471947802396,-0.16062665894549
"EURUSD","sGARCH","sstd",2.22061640547421e-05,0.00351686828601548,2.21125950961247e-05,0.00350258090010257,0.421364799371632,0.406253085158823
"GBPUSD","TGARCH","sstd",3.48409539833613e-05,0.00437363167074261,3.450217978867e-05,0.00431935149035112,0.972344772342019,1.24107799828223
"GBPUSD","gjrGARCH","sstd",3.43941137794673e-05,0.00431737160015301,3.42879023770953e-05,0.00430993310253984,0.308806916942309,0.172292271828232
"GBPUSD","sGARCH","norm",3.45281255929013e-05,0.00432834545135828,3.4380430021123e-05,0.00431437218736813,0.427754386437545,0.322831533369516
"GBPUSD","sGARCH","sstd",3.47876795851249e-05,0.00433715731224581,3.43134264060025e-05,0.00431232536809715,1.36327914013899,0.572539623558235
"MSFT","TGARCH","sstd",0.000357590756871472,0.013311453571699,0.000360516319778998,0.0133480200879298,-0.818131579552416,-0.274699648943991
"MSFT","gjrGARCH","sstd",0.000357804248483678,0.0133199728861673,0.000357676173393736,0.0133166881652794,0.0357947370621622,0.02466011692345
"MSFT","sGARCH","norm",0.000359184098439669,0.0134236857455301,0.000380234698186531,0.0138347283150291,-5.86067140452707,-3.06206936970251
"MSFT","sGARCH","sstd",0.000357935371424075,0.0133258371224686,0.000357254897325573,0.013288167989599,0.19011088392709,0.282677422239282
"NVDA","TGARCH","sstd",0.00112990698547962,0.0245719942992481,0.001114776146248,0.0242357836266807,1.33912254956077,1.36826774608883
"NVDA","gjrGARCH","sstd",0.00111747661996816,0.0242999039203381,0.00111522983045958,0.0243041801407263,0.201059196088065,-0.0175976843456681
"NVDA","sGARCH","norm",0.00113294191660519,0.0247395278593571,0.00112886449992447,0.0243657221470333,0.359896356640929,1.51096542524524
"NVDA","sGARCH","sstd",0.00111798915874502,0.0242360232260632,0.00111465389466928,0.0242801108181927,0.298327049922727,-0.181909349228928
"USDZAR","TGARCH","sstd",9.82371143077934e-05,0.00761831895021398,9.85879822252114e-05,0.00768180191168424,-0.35716431604319,-0.83329356364735
"USDZAR","gjrGARCH","sstd",9.85706736851411e-05,0.00765796938907799,9.78526990960806e-05,0.00761288363878511,0.728385596058617,0.588742889951777
"USDZAR","sGARCH","norm",9.81953596569056e-05,0.00762182286405039,9.85129890248958e-05,0.00767487245432214,-0.323466779998572,-0.696022345546333
"USDZAR","sGARCH","sstd",9.87251382572782e-05,0.00765905550657954,9.7933010840291e-05,0.00761151151521311,0.802356351148289,0.620755278840683
