"Model","N_Assets","Mean_MSE","Mean_MAE","Mean_AIC","Mean_BIC","Mean_LogLik"
"TGARCH",6,0.000353285522699968,0.0112661449369954,-25490.1424379366,-25451.6514751415,12751.0712189683
"gjrGARCH",6,0.00041244704938497,0.0128394160282186,-27474.0650181722,-27435.5740553771,13743.0325090861
"sGARCH",12,0.000483531432433468,0.0135945586851025,-25189.3693301111,-25160.5011080147,12599.1846650555
