"Model","mean_KS","median_KS","mean_Wasserstein","median_Wasserstein","mean_Tail_index_Std","mean_Skewness_Std","mean_Kurtosis_Std","mean_Tail_index_NF","mean_Skewness_NF","mean_Kurtosis_NF"
"TGARCH",0.10196546239491,0.0988411724608044,0.226190402691198,0.220930888573862,2.51104911708801,0.944329626654751,35.9771760166897,4.77572472588758,0.00191753113233428,2.98016912882935
"eGARCH",0.21881390593047,0.21881390593047,0.443130868451156,0.443130868451156,1.81938776247825,5.85906588350682,117.381599407465,4.21162033401094,0.00435914338317816,3.27901162255057
"gjrGARCH",0.0629970461258805,0.0584526244035447,0.145139919567114,0.147815698533014,3.08161074532661,0.47032255995993,16.0434173372962,4.814040639008,0.006596503119217,2.98706034051908
"sGARCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
