epoch,train_loss,val_loss
1,2.008779430389404,
2,1.962398386001587,
3,1.8341439723968507,
4,1.8794573545455933,
5,1.8665913581848144,1.9753283262252808
6,1.8507563591003418,
7,1.8521829128265381,
8,1.8397475719451903,
9,1.8425631523132324,
10,1.852259874343872,1.9475432634353638
11,1.8362908363342285,
12,1.8431376934051513,
13,1.8371843576431275,
14,1.852190899848938,
15,1.8385960340499878,1.9443825483322144
16,1.8373349905014038,
17,1.8384530067443847,
18,1.8400258779525758,
19,1.840634822845459,
20,1.841394567489624,1.9573460221290588
21,1.8335604429244996,
22,1.8441889047622682,
23,1.8446123123168945,
24,1.8440823316574098,
25,1.8386426210403441,1.9439871311187744
26,1.8311732053756713,
27,1.851537251472473,
28,1.8466338634490966,
29,1.8415092706680298,
30,1.832366394996643,1.9539950489997864
31,1.8556055545806884,
32,1.8319710731506347,
33,1.8490795135498046,
34,1.8461482524871826,
35,1.8324208021163941,1.9520221948623657
36,1.8367841958999633,
37,1.8340243339538573,
38,1.8419047117233276,
39,1.8342735290527343,
40,1.8398234844207764,1.94999098777771
41,1.827820634841919,
42,1.8321285247802734,
43,1.8406699180603028,
44,1.8436055421829223,
45,1.835857343673706,1.9503896832466125
46,1.8422393798828125,
47,1.8468015670776368,
48,1.8382665634155273,
49,1.838554072380066,
50,1.8355470657348634,1.9525946974754333
51,1.836878204345703,
52,1.8297589063644408,
53,1.8413641929626465,
54,1.8356877326965333,
55,1.8362670183181762,1.9754541516304016
56,1.8324212551116943,
57,1.8347272634506226,
58,1.833076286315918,
59,1.8385492801666259,
60,1.8354958772659302,1.9486423134803772
61,1.8494171857833863,
62,1.8338176250457763,
63,1.8386415481567382,
64,1.8407955646514893,
65,1.8473172664642334,1.9559317827224731
66,1.8329967498779296,
67,1.8446776390075683,
68,1.837768292427063,
69,1.8359628438949585,
70,1.8332144975662232,1.9558451175689697
71,1.8364073276519775,
72,1.8315533876419068,
73,1.864128303527832,
74,1.8334115266799926,
75,1.832500696182251,1.9673576951026917
