epoch,train_loss
1,1.709577739238739
2,1.45611576239268
3,1.3983002503712971
4,1.4162662227948506
5,1.3983395894368489
6,1.3921059767405193
7,1.4023807644844055
8,1.401353160540263
9,1.4060050249099731
10,1.3923008640607197
11,1.394026021162669
12,1.3902113040288289
13,1.3926578760147095
14,1.3904706438382466
15,1.3887706597646077
16,1.3914004762967427
17,1.3897328972816467
18,1.3877746264139812
19,1.3974254131317139
20,1.3888383706410725
21,1.3857635060946147
22,1.389840026696523
23,1.3851307233174641
24,1.38747239112854
25,1.3868055542310078
26,1.384525994459788
27,1.3908528884251912
28,1.3902521928151448
29,1.3865169684092205
30,1.3923259973526
31,1.3840956290562947
32,1.3980462153752644
33,1.3875343203544617
34,1.3912444114685059
35,1.392143964767456
36,1.3851414322853088
37,1.3941012223561604
38,1.3890783190727234
39,1.3920731743176777
40,1.387675166130066
41,1.4005791544914246
42,1.3925961256027222
43,1.3857563734054565
44,1.3929988741874695
45,1.388145645459493
46,1.3883626262346904
47,1.386799971262614
48,1.3908501466115315
49,1.3899824221928914
50,1.38775767882665
51,1.3873236576716106
52,1.392755965391795
53,1.3854830662409465
54,1.3914063771565754
55,1.3848379055658977
56,1.3877814809481304
57,1.3826197584470112
58,1.3891134858131409
59,1.3835608561833699
60,1.386852502822876
61,1.3879207173983257
62,1.391800304253896
63,1.3862764835357666
64,1.3920730352401733
65,1.3864835898081462
66,1.3900739351908367
67,1.3865469892819722
68,1.3881366054217021
69,1.3861468434333801
70,1.3944001197814941
71,1.386174996693929
72,1.3842153151830037
73,1.3936605254809062
74,1.3926767309506733
75,1.3867993354797363
