"Asset","Asset_Type","N_Obs","Mean","SD","Skewness","Kurtosis","ACF1_Raw","ACF1_Squared","Leverage_Coefficient","Leverage_Present"
"EURUSD","FX",4515,-2.08225732603044e-05,0.00586273394059498,-0.092916890218104,7.26146945630698,-0.00462174100455312,0.251590040437905,-4.25914326058987e-06,FALSE
"GBPUSD","FX",4515,-6.68923213661866e-05,0.00636870839787484,-0.966041156112683,15.5692256626899,0.0380717209398766,0.174912194062967,-2.54505832081118e-06,FALSE
"GBPCNY","FX",4515,-9.68073557280199e-05,0.00617460968173331,-0.547514238087334,12.9327313181935,0.0132566084593931,0.132941818437533,-4.99948287134255e-07,FALSE
"USDZAR","FX",4515,0.000222844606050559,0.0108452796825276,0.555166306307948,7.12563440876434,-0.030967432749223,0.19207765338689,-3.64941404489675e-06,FALSE
"GBPZAR","FX",4515,0.000154952472001405,0.00989671063913453,0.611276749043579,7.24349306796603,-0.00661330210837428,0.127552726939564,-1.10936997161905e-05,FALSE
"EURZAR","FX",4515,0.000201183989306403,0.00965936532696099,0.707285428622542,7.29128893835765,-0.0128543070935487,0.121044377933702,-2.03283076038991e-05,FALSE
"NVDA","Equity",4515,0.00138196390546614,0.0315745195104368,-0.287127568825733,11.638223264325,-0.0309469944038396,0.0825932120031003,0.000314848144876764,TRUE
"MSFT","Equity",4515,0.000681151693973862,0.0177697534611809,-0.0699007174643405,11.767007216072,-0.103011083945554,0.285094258203536,7.94594578921775e-05,TRUE
"PG","Equity",4515,0.00036657723780682,0.0117722485082383,-0.124229866322706,12.640880605117,-0.0859704942449724,0.335162865686124,5.43706016078445e-05,TRUE
"CAT","Equity",4515,0.000524037814198207,0.020672924408472,-0.249867540424256,8.24045963690398,0.0116020193472119,0.109860585637237,3.36905341096084e-05,TRUE
"WMT","Equity",4515,0.00044748734354589,0.0131180983121479,-0.037943189649782,15.2753271261757,-0.0519979245358446,0.201379242618182,4.03361688699536e-05,TRUE
"AMZN","Equity",4515,0.000973345599550624,0.0244348838620387,0.394630901869621,15.2688766458897,-0.0111787690484504,0.0976726342574077,9.96512241627921e-05,TRUE
