epoch,train_loss,val_loss
1,1.4556935548782348,
2,1.4473381042480469,
3,1.4417724609375,
4,1.4307873725891114,
5,1.4293887853622436,1.4569725394248962
6,1.4231521606445312,
7,1.4193690299987793,
8,1.4130850791931153,
9,1.4147342443466187,
10,1.4103349447250366,1.4474234580993652
11,1.4086353540420533,
12,1.4073795557022095,
13,1.4044533729553224,
14,1.4084240913391113,
15,1.4110717535018922,1.446117103099823
16,1.4104746580123901,
17,1.4068121910095215,
18,1.414840316772461,
19,1.4101656198501586,
20,1.4057307958602905,1.4462910294532776
21,1.4040690660476685,
22,1.4061665773391723,
23,1.406520962715149,
24,1.4103324651718139,
25,1.4012250185012818,1.4457386136054993
26,1.4018461465835572,
27,1.4142500400543212,
28,1.408200216293335,
29,1.400926685333252,
30,1.4019481420516968,1.4465547800064087
31,1.4062615871429442,
32,1.4008332014083862,
33,1.4084569454193114,
34,1.40467369556427,
35,1.4084384202957154,1.445858657360077
36,1.408198857307434,
37,1.4040309190750122,
38,1.406765866279602,
39,1.4052026510238647,
40,1.4020939588546752,1.4465411901474
41,1.4021215915679932,
42,1.4102274179458618,
43,1.4009669303894043,
44,1.402793574333191,
45,1.4002488613128663,1.4459834098815918
46,1.4023205280303954,
47,1.4026034593582153,
48,1.4104388236999512,
49,1.401306390762329,
50,1.4076560020446778,1.4463297724723816
51,1.4029098987579345,
52,1.4069949865341187,
53,1.4069432020187378,
54,1.4086465120315552,
55,1.408460259437561,1.4459279775619507
56,1.4092155933380126,
57,1.4039987325668335,
58,1.4012181282043457,
59,1.404879641532898,
60,1.4045226335525514,1.4460113644599915
61,1.4008934497833252,
62,1.3999208211898804,
63,1.4072797060012818,
64,1.3981014251708985,
65,1.410393738746643,1.446867048740387
66,1.4006693840026856,
67,1.414311408996582,
68,1.4032406091690064,
69,1.4054258584976196,
70,1.402734065055847,1.4459470510482788
71,1.4017093420028686,
72,1.4013633251190185,
73,1.4026347398757935,
74,1.4067999362945556,
75,1.3992790937423707,1.4460569620132446
