epoch,train_loss,val_loss
1,1.4479811668395997,
2,1.4377250671386719,
3,1.4163795471191407,
4,1.4129994630813598,
5,1.4086070775985717,1.2250782251358032
6,1.3994519710540771,
7,1.3927376985549926,
8,1.3958367347717284,
9,1.3956851005554198,
10,1.3960078001022338,1.1891455054283142
11,1.3906954050064086,
12,1.4019546270370484,
13,1.3929633378982544,
14,1.3934021234512328,
15,1.385957932472229,1.1866389513015747
16,1.3881389379501343,
17,1.3953655242919922,
18,1.383392071723938,
19,1.391783356666565,
20,1.4022882461547852,1.184859573841095
21,1.3996678829193114,
22,1.3842186689376832,
23,1.3974234342575074,
24,1.3965331792831421,
25,1.400182294845581,1.1818602085113525
26,1.3875027656555177,
27,1.3987812042236327,
28,1.3948173522949219,
29,1.4023355960845947,
30,1.3943364858627318,1.1818913221359253
31,1.3865777015686036,
32,1.3929486751556397,
33,1.3909887790679931,
34,1.3997578620910645,
35,1.3955803632736206,1.1796388030052185
36,1.3965218782424926,
37,1.3880466938018798,
38,1.3979483366012573,
39,1.3930471181869506,
40,1.3901801586151123,1.1805197596549988
41,1.3855584859848022,
42,1.4044987201690673,
43,1.3888237237930299,
44,1.3830369710922241,
45,1.3964823484420776,1.1808151602745056
46,1.3918778419494628,
47,1.3892782926559448,
48,1.3963571310043335,
49,1.396754550933838,
50,1.3889524936676025,1.1840572357177734
51,1.3883889675140382,
52,1.3792078971862793,
53,1.3954382419586182,
54,1.3926507472991942,
55,1.3856431484222411,1.1815772652626038
56,1.396345281600952,
57,1.38406081199646,
58,1.3901010990142821,
59,1.3772993564605713,
60,1.396398162841797,1.1790707111358643
61,1.3975307941436768,
62,1.395949363708496,
63,1.394324254989624,
64,1.3856674671173095,
65,1.3893091440200807,1.1825743317604065
66,1.3882593631744384,
67,1.392486000061035,
68,1.3845484972000122,
69,1.3818783521652223,
70,1.3991926670074464,1.178580403327942
71,1.3899310111999512,
72,1.387309718132019,
73,1.3887868165969848,
74,1.3889787912368774,
75,1.3875019550323486,1.1795316338539124
