epoch,train_loss
1,2.508104463418325
2,1.6521128416061401
3,1.4875759879748027
4,1.5091825326283772
5,1.4420514106750488
6,1.4634162386258442
7,1.4272838830947876
8,1.43047030766805
9,1.4190780917803447
10,1.421205202738444
11,1.42322705189387
12,1.4165436228116353
13,1.4195667107899983
14,1.4311110774676006
15,1.4192762970924377
16,1.4325456221898396
17,1.4177679220835369
18,1.4256212711334229
19,1.443158745765686
20,1.4193082451820374
21,1.4245332876841228
22,1.4270428816477458
23,1.4174253344535828
24,1.4524010221163433
25,1.4256361524264018
26,1.4200130701065063
27,1.4556437134742737
28,1.4213614861170452
29,1.423004428545634
30,1.4272062579790752
31,1.4306720693906148
32,1.4181970755259197
33,1.4328739841779072
34,1.429338276386261
35,1.4157215158144634
36,1.4172692894935608
37,1.4490246574083965
38,1.4175845583279927
39,1.4622491002082825
40,1.424961785475413
41,1.4249997735023499
42,1.4519474903742473
43,1.4373255372047424
44,1.4317445158958435
45,1.412241816520691
46,1.439395785331726
47,1.4249150156974792
48,1.4177399476369221
49,1.427437384923299
50,1.4234360655148823
51,1.4258461594581604
52,1.4344897071520488
53,1.428249478340149
54,1.4274622599283855
55,1.4179842074712117
56,1.4202590584754944
57,1.4258641799290974
58,1.4332333008448284
59,1.4195231795310974
60,1.429002583026886
61,1.439249296983083
62,1.420122007528941
63,1.4251428842544556
64,1.4149112105369568
65,1.4206476012865703
66,1.4242233435312908
67,1.4197297890981038
68,1.4122362335522969
69,1.4147536555926006
70,1.4231155316034954
71,1.415490706761678
72,1.4312564929326375
73,1.4241242210070293
74,1.413002332051595
75,1.43234517176946
