"asset","model","split_type","window_id","train_start","train_end","train_size","test_start","test_end","test_size","loglik","aic","bic","n_params","convergence"
"NVDA","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,6731.49945914037,-13452.9989182807,-13423.0783084872,5,TRUE
"NVDA","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,6603.19219313973,-13194.3843862795,-13158.4796545273,6,TRUE
"NVDA","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,6759.0225013026,-13506.0450026052,-13470.140270853,6,TRUE
"NVDA","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,6773.44577742326,-13534.8915548465,-13498.9868230943,6,TRUE
"MSFT","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,8210.94282256242,-16411.8856451248,-16381.9650353313,5,TRUE
"MSFT","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,8126.03122177275,-16240.0624435455,-16204.1577117933,6,TRUE
"MSFT","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,8217.4856191321,-16422.9712382642,-16387.066506512,6,TRUE
"MSFT","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,8254.27130930357,-16496.5426186071,-16460.6378868549,6,TRUE
"PG","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9464.98655328205,-18919.9731065641,-18890.0524967706,5,TRUE
"PG","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9386.81300812537,-18761.6260162507,-18725.7212844985,6,TRUE
"PG","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9489.01561208712,-18966.0312241742,-18930.126492422,6,TRUE
"PG","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9490.07553946007,-18968.1510789201,-18932.2463471679,6,TRUE
"CAT","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,7794.38683737647,-15578.7736747529,-15548.8530649594,5,TRUE
"CAT","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,7708.33292915375,-15404.6658583075,-15368.7611265553,6,TRUE
"CAT","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,7577.45947835943,-15142.9189567189,-15107.0142249666,6,TRUE
"CAT","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,7845.22299800355,-15678.4459960071,-15642.5412642549,6,TRUE
"WMT","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9193.34883881496,-18376.6976776299,-18346.7770678364,5,TRUE
"WMT","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9159.91762460523,-18307.8352492105,-18271.9305174582,6,TRUE
"WMT","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9200.18107574341,-18388.3621514868,-18352.4574197346,6,TRUE
"WMT","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9208.90874562688,-18405.8174912538,-18369.9127595015,6,TRUE
"AMZN","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,7529.58015762371,-15049.1603152474,-15019.2397054539,5,TRUE
"AMZN","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,7458.1952099032,-14904.3904198064,-14868.4856880542,6,TRUE
"AMZN","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,7557.85354255353,-15103.7070851071,-15067.8023533548,6,TRUE
"AMZN","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,7579.90764491297,-15147.8152898259,-15111.9105580737,6,TRUE
"EURUSD","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,11340.4784919857,-22670.9569839715,-22641.0363741779,5,TRUE
"EURUSD","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,11281.2065421042,-22550.4130842083,-22514.5083524561,6,TRUE
"EURUSD","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,11029.5990776165,-22047.1981552331,-22011.2934234809,6,TRUE
"EURUSD","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,11392.5603488528,-22773.1206977057,-22737.2159659535,6,TRUE
"GBPUSD","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,11188.9249919478,-22367.8499838956,-22337.9293741021,5,TRUE
"GBPUSD","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,11150.2610463435,-22288.5220926871,-22252.6173609349,6,TRUE
"GBPUSD","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,10942.7846837205,-21873.569367441,-21837.6646356888,6,TRUE
"GBPUSD","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,11225.1262034467,-22438.2524068933,-22402.3476751411,6,TRUE
"GBPCNY","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,11184.6737981051,-22359.3475962103,-22329.4269864168,5,TRUE
"GBPCNY","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,11154.8318376167,-22297.6636752335,-22261.7589434813,6,TRUE
"GBPCNY","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,10960.0217744993,-21908.0435489986,-21872.1388172463,6,TRUE
"GBPCNY","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,11249.4575080076,-22486.9150160151,-22451.0102842629,6,TRUE
"USDZAR","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9298.52386419066,-18587.0477283813,-18557.1271185878,5,TRUE
"USDZAR","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9334.21284431972,-18656.4256886394,-18620.5209568872,6,TRUE
"USDZAR","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9381.00946858926,-18750.0189371785,-18714.1142054263,6,TRUE
"USDZAR","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9379.44762960421,-18746.8952592084,-18710.9905274562,6,TRUE
"GBPZAR","sGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9590.47190481929,-19170.9438096386,-19141.0231998451,5,TRUE
"GBPZAR","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9650.23926520529,-19288.4785304106,-19252.5737986584,6,TRUE
"GBPZAR","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9362.67693841623,-18713.3538768325,-18677.4491450803,6,TRUE
"GBPZAR","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9648.39215343679,-19284.7843068736,-19248.8795751214,6,TRUE
"EURZAR","eGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9654.56348396406,-19297.1269679281,-19261.2222361759,6,TRUE
"EURZAR","gjrGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9686.62578026118,-19361.2515605224,-19325.3468287701,6,TRUE
"EURZAR","TGARCH_std","tscv",7,1351,4284,2934,4285,4324,40,9736.98001220106,-19461.9600244021,-19426.0552926499,6,TRUE
