epoch,train_loss,val_loss
1,1.8497425317764282,
2,1.4631619453430176,
3,1.390240454673767,
4,1.3863537788391114,
5,1.367503046989441,1.1522760391235352
6,1.364630150794983,
7,1.3765767097473145,
8,1.3624181032180787,
9,1.3601567268371582,
10,1.3588314533233643,1.1827542185783386
11,1.3770022630691527,
12,1.3552978754043579,
13,1.360469913482666,
14,1.351556921005249,
15,1.3637117862701416,1.1637638211250305
16,1.3585833311080933,
17,1.3573020219802856,
18,1.3542313814163207,
19,1.363042402267456,
20,1.354771876335144,1.1794265508651733
21,1.3607627868652343,
22,1.3571553707122803,
23,1.3543851613998412,
24,1.3695077180862427,
25,1.3546356439590455,1.1878449320793152
26,1.353575587272644,
27,1.3687157154083252,
28,1.363200831413269,
29,1.3615156888961792,
30,1.3607638120651244,1.2288418412208557
31,1.3532680511474608,
32,1.3552923679351807,
33,1.3648380517959595,
34,1.362465763092041,
35,1.3644052028656006,1.195380985736847
36,1.3453329086303711,
37,1.3568274259567261,
38,1.3566162586212158,
39,1.371201181411743,
40,1.3593952417373658,1.2058225870132446
41,1.3645461082458497,
42,1.3683218002319335,
43,1.3519352912902831,
44,1.3631235837936402,
45,1.350256586074829,1.1896995306015015
46,1.345954990386963,
47,1.368833065032959,
48,1.3514589548110962,
49,1.3812936067581176,
50,1.3578604459762573,1.1998655796051025
51,1.353769874572754,
52,1.3622738599777222,
53,1.353827667236328,
54,1.3712955474853517,
55,1.3584109783172607,1.1836394667625427
56,1.3689940452575684,
57,1.3495434284210206,
58,1.3701180458068847,
59,1.3532745122909546,
60,1.3637293577194214,1.185472846031189
61,1.3568052053451538,
62,1.3570626974105835,
63,1.3523236513137817,
64,1.348034715652466,
65,1.360140895843506,1.1836726665496826
66,1.3533918142318726,
67,1.3623371601104737,
68,1.3613775730133058,
69,1.3575628280639649,
70,1.3501198053359986,1.1782803535461426
71,1.3670279502868652,
72,1.3652742862701417,
73,1.3779287338256836,
74,1.345466947555542,
75,1.3566771745681763,1.1847113966941833
