"Asset","Model","std_mean","std_sd","std_skew","std_kurt","std_excess_kurt","nf_mean","nf_sd","nf_skew","nf_kurt","nf_excess_kurt","kurt_change","skew_change","Distribution","MSE","MAE"
"NVDA","sGARCH_norm",-0.232539419852722,1.48083895031817,0.454184899594844,10.4761093353624,7.47610933536238,-0.242556696364097,1.44639826026016,-0.0149872444738449,3.06491097184505,0.0649109718450487,-7.41119836351734,-0.439197655120999,"norm",0.00112886449992447,0.0243657221470333
"MSFT","sGARCH_norm",-0.490556716468065,1.42977133451124,-0.18733368580744,16.1478391403704,13.1478391403704,-0.481375181584298,1.41668620714843,0.0800303522396502,2.8252069384839,-0.174793061516098,-13.3226322018865,-0.107303333567789,"norm",0.000380234698186531,0.0138347283150291
"AMZN","sGARCH_norm",-0.46270075453814,1.50297241724444,2.21606330208609,31.0689299755492,28.0689299755492,-0.378137783024093,1.49033839578011,-0.0139422958308139,2.85694092721851,-0.143059072781494,-28.2119890483307,-2.20212100625527,"norm",0.000564905908803178,0.0173116921022071
"EURUSD","sGARCH_norm",0.0830311013835369,1.53152719848303,-0.327024931328284,8.63975408582213,5.63975408582213,0.0681958955914451,1.4819143429835,-0.0594523954993263,2.97280501111987,-0.0271949888801339,-5.66694907470226,-0.267572535828958,"norm",2.21586308442225e-05,0.00350657522709918
"GBPUSD","sGARCH_norm",0.0142321333995753,1.46593654639242,-0.109975496432081,6.90376854869575,3.90376854869575,0.0614361049428255,1.48013331245292,-0.0491163080125851,2.84401409574209,-0.155985904257914,-4.05975445295366,-0.0608591884194959,"norm",3.4380430021123e-05,0.00431437218736813
"USDZAR","sGARCH_norm",-0.0702108098943823,1.44055079946712,0.523826609462219,6.02668642761832,3.02668642761832,-0.0642390429689843,1.37293896004005,0.00196761375425669,2.90814222734078,-0.0918577726592154,-3.11854420027754,-0.521858995707962,"norm",9.85129890248958e-05,0.00767487245432214
"NVDA","sGARCH_sstd",-0.0090700073723771,1.52946706775229,0.76127033193722,13.1079517318118,10.1079517318118,0.0230179920755828,1.49360474622129,-0.00187904190369025,2.96019074080736,-0.0398092591926433,-10.1477609910044,-0.75939129003353,"sstd",0.00111465389466928,0.0242801108181927
"MSFT","sGARCH_sstd",-0.00524698400628502,1.55998427119675,-0.87726413617907,28.6667718776931,25.6667718776931,-0.0698337565294819,1.50875339948591,-0.013752880257551,2.90365361997681,-0.0963463800231912,-25.7631182577163,-0.863511255921519,"sstd",0.000357254897325573,0.013288167989599
"AMZN","sGARCH_sstd",-0.000266532317125286,1.68283541888408,3.41138074142195,56.7182753206343,53.7182753206343,0.0818661106610634,1.86424310585764,0.0360630983348141,2.91638756334327,-0.0836124366567348,-53.801887757291,-3.37531764308713,"sstd",0.000499561834646966,0.0158725642079564
"EURUSD","sGARCH_sstd",0.00641061836766931,1.5407398959192,-0.360409033491984,8.83508520410397,5.83508520410397,-0.0813877404514724,1.65033328411726,-0.0232490247987995,3.0044528943154,0.00445289431540186,-5.83063230978857,-0.337160008693185,"sstd",2.21125950961247e-05,0.00350258090010257
"GBPUSD","sGARCH_sstd",0.00669725815637687,1.4659785228638,-0.112556321843547,6.90266010950737,3.90266010950737,-0.0111618208238241,1.42442811732018,0.0775295554268484,3.15543987244492,0.155439872444923,-3.74722023706245,-0.0350267664166985,"sstd",3.43134264060025e-05,0.00431232536809715
"USDZAR","sGARCH_sstd",0.0328066538600538,1.44999938385035,0.560579274181172,6.13141969666528,3.13141969666528,0.0757344567476278,1.44579887913823,-0.103616682935366,3.18422044212956,0.184220442129555,-2.94719925453572,-0.456962591245806,"sstd",9.7933010840291e-05,0.00761151151521311
