"Asset","Model","std_mean","nf_mean","std_sd","nf_sd","std_skew","nf_skew","std_kurt","nf_kurt","std_acf1","nf_acf1","std_acf_mean","nf_acf_mean","std_acf2_sq","nf_acf2_sq","std_lb_pval","nf_lb_pval","std_arch_pval","nf_arch_pval","std_white","nf_white","std_no_arch","nf_no_arch"
"NVDA","sGARCH_norm",-0.232539419852722,-0.242556696364097,1.48083895031817,1.44639826026016,0.454184899594844,-0.0149872444738449,10.4761093353624,3.06491097184505,-0.00801640882452155,-0.0110925278467644,0.00555649866399589,0.00777305566074227,-0.0599265611253079,-0.0115696714721352,0.222189241125471,0.703738709208538,0.000183536474891109,0.321935512250553,TRUE,TRUE,FALSE,TRUE
"MSFT","sGARCH_norm",-0.490556716468065,-0.481375181584298,1.42977133451124,1.41668620714843,-0.18733368580744,0.0800303522396502,16.1478391403704,2.8252069384839,-0.0402411188417399,-0.0110841398307712,0.028421192404919,0.0183448278529524,-0.0452440180725397,0.0143335830035061,0.0413417584984265,0.324604233526081,0.055238599536503,0.645609356080987,FALSE,TRUE,TRUE,TRUE
"AMZN","sGARCH_norm",-0.46270075453814,-0.378137783024093,1.50297241724444,1.49033839578011,2.21606330208609,-0.0139422958308139,31.0689299755492,2.85694092721851,-0.0144477692157032,0.0019007884840549,0.0145981032159499,0.0117373363245589,-0.0253511021373566,-0.00455153522651313,0.824151971935997,0.36131234555433,0.461732679723398,0.304427425213458,TRUE,TRUE,TRUE,TRUE
"EURUSD","sGARCH_norm",0.0830311013835369,0.0681958955914451,1.53152719848303,1.4819143429835,-0.327024931328284,-0.0594523954993263,8.63975408582213,2.97280501111987,-0.00185790557202875,-0.0177575116835098,0.011428285252636,0.0184003973337123,-0.0814236622509473,-0.00934169202286282,0.747142777126995,0.130014117162146,1.04144260479921e-07,0.714807978907565,TRUE,TRUE,FALSE,TRUE
"GBPUSD","sGARCH_norm",0.0142321333995753,0.0614361049428255,1.46593654639242,1.48013331245292,-0.109975496432081,-0.0491163080125851,6.90376854869575,2.84401409574209,0.00713716793206098,0.022063488161137,0.010140637386759,0.0113401537259564,-0.0941436568298192,0.0336778122284222,0.656057183446169,0.966868042191056,1.79512760368064e-10,0.0299688426087651,TRUE,TRUE,FALSE,FALSE
"USDZAR","sGARCH_norm",-0.0702108098943823,-0.0642390429689843,1.44055079946712,1.37293896004005,0.523826609462219,0.00196761375425669,6.02668642761832,2.90814222734078,-0.000144837161152438,-0.00381959961373986,0.00694155512354207,0.00938250420621456,-0.115862954372805,-0.0188293916722869,0.940267281988731,0.758386422643127,8.95401611505138e-14,0.726568460968339,TRUE,TRUE,FALSE,TRUE
"NVDA","sGARCH_sstd",-0.0090700073723771,0.0230179920755828,1.52946706775229,1.49360474622129,0.76127033193722,-0.00187904190369025,13.1079517318118,2.96019074080736,-0.00181819791580569,0.0114870493116954,0.00510002941974839,0.0130575997972148,-0.0470715047438568,-0.00537686898921211,0.404699034527391,0.86212859563324,0.00976141407949227,0.697146068885009,TRUE,TRUE,FALSE,TRUE
"MSFT","sGARCH_sstd",-0.00524698400628502,-0.0698337565294819,1.55998427119675,1.50875339948591,-0.87726413617907,-0.013752880257551,28.6667718776931,2.90365361997681,-0.0101241982921135,0.0126600795331767,0.0157347921396025,0.0142872233297438,-0.0232041055881714,-0.0265385424019865,0.383343503336415,0.850346248864309,0.605235678202129,0.353728523646834,TRUE,TRUE,TRUE,TRUE
"AMZN","sGARCH_sstd",-0.000266532317125286,0.0818661106610634,1.68283541888408,1.86424310585764,3.41138074142195,0.0360630983348141,56.7182753206343,2.91638756334327,0.00283493969874503,0.00883488040973625,0.0122265376972966,0.0169078255909327,-0.0124927052979493,-0.000552572224381372,0.854205804277993,0.257838864594532,0.940352324884775,0.634874302289719,TRUE,TRUE,TRUE,TRUE
"EURUSD","sGARCH_sstd",0.00641061836766931,-0.0813877404514724,1.5407398959192,1.65033328411726,-0.360409033491984,-0.0232490247987995,8.83508520410397,3.0044528943154,-0.00177860811588922,-0.00199846709607112,0.0115265255653002,0.0156104310832033,-0.079334831845281,0.029363646973827,0.775273727485883,0.547758926891864,3.04671572553566e-07,0.142741955847312,TRUE,TRUE,FALSE,TRUE
"GBPUSD","sGARCH_sstd",0.00669725815637687,-0.0111618208238241,1.4659785228638,1.42442811732018,-0.112556321843547,0.0775295554268484,6.90266010950737,3.15543987244492,0.00715838837854458,0.0243916260003572,0.0101114188377441,0.0201910510174038,-0.0941540763505788,-0.00967590747832326,0.65908373825817,0.290582506566676,1.78649625819904e-10,0.843925529243353,TRUE,TRUE,FALSE,TRUE
"USDZAR","sGARCH_sstd",0.0328066538600538,0.0757344567476278,1.44999938385035,1.44579887913823,0.560579274181172,-0.103616682935366,6.13141969666528,3.18422044212956,-0.00112006326336679,0.00310193927779982,0.00767842442907925,0.0105813587036058,-0.112733347360415,-0.0139440775780681,0.905075872359615,0.905120395520438,8.21092899032072e-13,0.385824143061983,TRUE,TRUE,FALSE,TRUE
