"Model","Orig_Excess_Kurt","NF_Excess_Kurt","Kurt_Change","Mean_MSE","Can_Handle_FatTails","Performance"
"sGARCH_norm",10.2105145855697,-0.0879966380416344,-10.2985112236113,0.00037150952613407,"NO (Gaussian)","WORSE"
"sGARCH_sstd",17.060360656736,0.0207241888362185,-17.0396364678997,0.00035430494316404,"YES (Student-t)","BETTER"
