"Analysis","Status","Duration_sec"
"Analysis 1: Residual Diagnostics","SUCCESS",0.842108011245728
"Analysis 3: Information Loss","SUCCESS",0.220672845840454
"Analysis 4: Temporal Dynamics","SUCCESS",2.9246780872345
