epoch,train_loss
1,1.5886075894037883
2,1.4439249237378438
3,1.4315094947814941
4,1.4279855092366536
5,1.4231067697207134
6,1.4241124987602234
7,1.420924723148346
8,1.425150712331136
9,1.4233291546503704
10,1.4398618737856548
11,1.42340886592865
12,1.4288378755251567
13,1.4305681586265564
14,1.4225268959999084
15,1.4193342924118042
16,1.422141472498576
17,1.4335314234097798
18,1.4333450396855671
19,1.4213539163271587
20,1.4290494720141094
21,1.423725465933482
22,1.4180877804756165
23,1.4268282254536946
24,1.4225932558377583
25,1.4184029499689739
26,1.4234603643417358
27,1.4232757290204365
28,1.426149348417918
29,1.4189347227414448
30,1.4225107630093892
31,1.4317739804585774
32,1.4206005334854126
33,1.4187085628509521
34,1.417787492275238
35,1.4286551078160603
36,1.4213222066561382
37,1.431831995646159
38,1.4213867783546448
39,1.418297032515208
40,1.4222766558329265
41,1.4252973794937134
42,1.4323979020118713
43,1.4281357526779175
44,1.4246923724810283
45,1.4306373794873555
46,1.420643965403239
47,1.428277810414632
48,1.4190019369125366
49,1.4197825193405151
50,1.4234344760576885
51,1.4225662350654602
52,1.417128324508667
53,1.4241132338841755
54,1.419704755147298
55,1.4326157967249553
56,1.4242456158002217
57,1.4247844616572063
58,1.4155396620432537
59,1.4261245131492615
60,1.4200231234232585
61,1.4181755185127258
62,1.4165406624476116
63,1.4184622565905254
64,1.432258943716685
65,1.421389599641164
66,1.4210593104362488
67,1.4254582524299622
68,1.4226935903231304
69,1.4203787048657734
70,1.4220792651176453
71,1.4205798904101055
72,1.4185820420583088
73,1.4147511919339497
74,1.4262369871139526
75,1.4234673182169597
