epoch,train_loss
1,1.7649683356285095
2,1.6222740411758423
3,1.4667547345161438
4,1.4407568176587422
5,1.4279560844103496
6,1.4338271419207256
7,1.4256908297538757
8,1.4186564485232036
9,1.4208516875902812
10,1.4229273200035095
11,1.4238061308860779
12,1.421564261118571
13,1.4227786461512248
14,1.4208009839057922
15,1.4240150650342305
16,1.426854173342387
17,1.421652913093567
18,1.4233467777570088
19,1.4228769938151042
20,1.4303263624509175
21,1.4276214440663655
22,1.4287327527999878
23,1.4193914731343586
24,1.4235829710960388
25,1.4224483172098796
26,1.4286219278971355
27,1.4225775400797527
28,1.4223539431889851
29,1.4281831979751587
30,1.4201364715894063
31,1.4231021404266357
32,1.4227660099665325
33,1.4183762470881145
34,1.4234381516774495
35,1.4231515924135845
36,1.4200487931569417
37,1.41790376106898
38,1.4212293426195781
39,1.4178696274757385
40,1.4182347853978474
41,1.4210203488667805
42,1.4197756846745808
43,1.4196597933769226
44,1.419152597586314
45,1.4181999166806538
46,1.415994107723236
47,1.421044131120046
48,1.425251265366872
49,1.419402281443278
50,1.4197547038396199
51,1.4225502808888753
52,1.4253491361935933
53,1.421488106250763
54,1.4214688936869304
55,1.4211994210879009
56,1.4218331178029378
57,1.4210382103919983
58,1.4189086556434631
59,1.4193594853083293
60,1.4256601333618164
61,1.4224636952082317
62,1.4240281979242961
63,1.4216308395067851
64,1.424165964126587
65,1.4208354552586873
66,1.4195996324221294
67,1.4187408487002056
68,1.41791166861852
69,1.4220767617225647
70,1.4182804028193157
71,1.418147603670756
72,1.4191865921020508
73,1.421041210492452
74,1.417762041091919
75,1.4242608348528545
