epoch,train_loss
1,1.4979684750239055
2,1.4454473654429119
3,1.4289389650026958
4,1.4245585997899373
5,1.423821210861206
6,1.419873038927714
7,1.423281153043111
8,1.4203486839930217
9,1.4202462236086528
10,1.419789433479309
11,1.4216420650482178
12,1.4189929962158203
13,1.4196696082750957
14,1.4188884099324544
15,1.4213098684946697
16,1.4216021100680034
17,1.4197514454523723
18,1.4237135648727417
19,1.4271382292111714
20,1.422308882077535
21,1.4222686290740967
22,1.418753405412038
23,1.4237108826637268
24,1.4211285710334778
25,1.4321629603703816
26,1.4255740841229756
27,1.4208224018414815
28,1.4254191915194194
29,1.4207226832707722
30,1.4229325850804646
31,1.4224778413772583
32,1.4184100826581318
33,1.4229299624760945
34,1.423393984635671
35,1.430005133152008
36,1.4232274293899536
37,1.4264246424039204
38,1.421165446440379
39,1.4222954511642456
40,1.4235282341639202
41,1.4230458339055378
42,1.4179339011510212
43,1.4205833673477173
44,1.4179563522338867
45,1.4226985971132915
46,1.4194801847139995
47,1.422533094882965
48,1.4225626985232036
49,1.4219161470731099
50,1.4202510515848796
51,1.4216039975484211
52,1.4225980043411255
53,1.4254310131072998
54,1.41945880651474
55,1.4251819650332134
56,1.4205904801686604
57,1.420086185137431
58,1.4187033971150715
59,1.4222822388013203
60,1.4189645449320476
61,1.4183345437049866
62,1.4223924080530803
63,1.4212279319763184
64,1.421065370241801
65,1.421694318453471
66,1.4210307995478313
67,1.4178384343783061
68,1.4192207256952922
69,1.417064944903056
70,1.4193850954373677
71,1.4212520718574524
72,1.4202906290690105
73,1.4203913013140361
74,1.4192793766657512
75,1.4212830662727356
