epoch,train_loss,val_loss
1,1.3286211490631104,
2,1.3097397804260253,
3,1.291606569290161,
4,1.2676877498626709,
5,1.2462614536285401,1.2450514435768127
6,1.2282323122024537,
7,1.2114736795425416,
8,1.2057682991027832,
9,1.2000588655471802,
10,1.2026514530181884,1.2108359336853027
11,1.196158480644226,
12,1.1954583168029784,
13,1.1963066577911377,
14,1.195422887802124,
15,1.196657395362854,1.211445152759552
16,1.1955482006072997,
17,1.1928138732910156,
18,1.1966881513595582,
19,1.1966894149780274,
20,1.1951068878173827,1.2116564512252808
21,1.195352554321289,
22,1.1967687606811523,
23,1.1957198858261109,
24,1.1967149257659913,
25,1.1981364250183106,1.2085543870925903
26,1.1975313425064087,
27,1.2036269187927247,
28,1.1986303806304932,
29,1.1996922254562379,
30,1.1933419227600097,1.208915650844574
31,1.1990474700927733,
32,1.1953968286514283,
33,1.1944648981094361,
34,1.196817445755005,
35,1.2005908250808717,1.2088106870651245
36,1.196212887763977,
37,1.1989110946655273,
38,1.2019938945770263,
39,1.1956927061080933,
40,1.1949228048324585,1.2102506756782532
41,1.1977628231048585,
42,1.1963183403015136,
43,1.1977426052093505,
44,1.1985981702804565,
45,1.195540976524353,1.208558201789856
46,1.1969854593276978,
47,1.1974811553955078,
48,1.1991103410720825,
49,1.1946492195129395,
50,1.2013607263565063,1.2085837721824646
51,1.1935137510299683,
52,1.203703260421753,
53,1.2012478590011597,
54,1.1985435009002685,
55,1.1945535659790039,1.2093232870101929
56,1.19205801486969,
57,1.1982409477233886,
58,1.1964813709259032,
59,1.1943337202072144,
60,1.2009199142456055,1.2098199129104614
61,1.197295618057251,
62,1.194313931465149,
63,1.19303297996521,
64,1.195988130569458,
65,1.1988490581512452,1.2098537683486938
66,1.2001822471618653,
67,1.1989465951919556,
68,1.1952474117279053,
69,1.1942073583602906,
70,1.1936262369155883,1.2084689736366272
71,1.1912661790847778,
72,1.191025710105896,
73,1.1952079772949218,
74,1.1996525049209594,
75,1.1955249547958373,1.208530068397522
