epoch,train_loss
1,2.0815115372339883
2,1.591341535250346
3,1.4387769103050232
4,1.4001558820406597
5,1.414772133032481
6,1.403921862443288
7,1.3938853740692139
8,1.398044188817342
9,1.3937235871950786
10,1.3916143774986267
11,1.4003494779268901
12,1.3972619970639546
13,1.3987958232561748
14,1.4058026274045308
15,1.3947446942329407
16,1.3902312119801838
17,1.4027244647343953
18,1.3894020915031433
19,1.391640067100525
20,1.3963468472162883
21,1.3899861772855122
22,1.3903372486432393
23,1.3959701657295227
24,1.3912651340166728
25,1.403523842493693
26,1.3916269540786743
27,1.391966700553894
28,1.3931488196055095
29,1.3991578618685405
30,1.3943126400311787
31,1.3886199394861858
32,1.3961387475331624
33,1.3944320678710938
34,1.3888734976450603
35,1.4010646343231201
36,1.389153500398
37,1.3911990722020466
38,1.3917148907979329
39,1.3937878410021465
40,1.3928109804789226
41,1.3895482619603474
42,1.3902209599812825
43,1.3886513511339824
44,1.3937754034996033
45,1.3952192465464275
46,1.3950236042340596
47,1.3920302987098694
48,1.3935343821843464
49,1.3920960028966267
50,1.390930434068044
51,1.400119463602702
52,1.3925708731015523
53,1.3981573780377705
54,1.4044657548268635
55,1.3927094340324402
56,1.389886776606242
57,1.3996223012606304
58,1.3911044994990032
59,1.3912499348322551
60,1.390796681245168
61,1.3908557693163555
62,1.388362189133962
63,1.3995814124743144
64,1.3962054053942363
65,1.392892837524414
66,1.3900168339411418
67,1.3883755207061768
68,1.3882632454236348
69,1.3876399397850037
70,1.3893404205640156
71,1.3928240736325581
72,1.394941012064616
73,1.3978935082753499
74,1.3928714791933696
75,1.3934053381284077
