"asset","model","split_type","window_id","train_start","train_end","train_size","test_start","test_end","test_size","loglik","aic","bic","n_params","convergence"
"NVDA","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,6655.9646518746,-13301.9293037492,-13272.0086939557,5,TRUE
"NVDA","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,6492.00768455791,-12972.0153691158,-12936.1106373636,6,TRUE
"NVDA","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,6677.87658353037,-13343.7531670607,-13307.8484353085,6,TRUE
"NVDA","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,6692.87043625906,-13373.7408725181,-13337.8361407659,6,TRUE
"MSFT","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,8187.6395771459,-16365.2791542918,-16335.3585444983,5,TRUE
"MSFT","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,8056.4663331807,-16100.9326663614,-16065.0279346092,6,TRUE
"MSFT","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,8209.07340634149,-16406.146812683,-16370.2420809308,6,TRUE
"MSFT","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,8224.22124856088,-16436.4424971218,-16400.5377653695,6,TRUE
"PG","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9394.06726786237,-18778.1345357247,-18748.2139259312,5,TRUE
"PG","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9250.52250608589,-18489.0450121718,-18453.1402804196,6,TRUE
"PG","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9412.58116302313,-18813.1623260463,-18777.2575942941,6,TRUE
"PG","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9420.57886577111,-18829.1577315422,-18793.25299979,6,TRUE
"CAT","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,7583.525403829,-15157.050807658,-15127.1301978645,5,TRUE
"CAT","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,7382.45242280895,-14752.9048456179,-14717.0001138657,6,TRUE
"CAT","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,7623.16679466845,-15234.3335893369,-15198.4288575847,6,TRUE
"CAT","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,7638.73794366374,-15265.4758873275,-15229.5711555753,6,TRUE
"WMT","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9139.63447531372,-18269.2689506274,-18239.3483408339,5,TRUE
"WMT","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9065.41853079711,-18118.8370615942,-18082.932329842,6,TRUE
"WMT","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9150.19966676469,-18288.3993335294,-18252.4946017772,6,TRUE
"WMT","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9167.84104850466,-18323.6820970093,-18287.7773652571,6,TRUE
"AMZN","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,7389.13544709826,-14768.2708941965,-14738.350284403,5,TRUE
"AMZN","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,7272.13779000284,-14532.2755800057,-14496.3708482535,6,TRUE
"AMZN","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,7417.96706675852,-14823.934133517,-14788.0294017648,6,TRUE
"AMZN","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,7439.26926438178,-14866.5385287636,-14830.6337970113,6,TRUE
"EURUSD","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,10985.8014769929,-21961.6029539859,-21931.6823441924,5,TRUE
"EURUSD","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,10892.0741111589,-21772.1482223177,-21736.2434905655,6,TRUE
"EURUSD","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,10701.9249667732,-21391.8499335465,-21355.9452017942,6,TRUE
"EURUSD","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,11040.015527489,-22068.031054978,-22032.1263232258,6,TRUE
"GBPUSD","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,10898.2410859207,-21786.4821718414,-21756.5615620478,5,TRUE
"GBPUSD","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,-15095.2771104164,30202.5542208328,30238.458952585,6,TRUE
"GBPUSD","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,10695.2921047465,-21378.5842094931,-21342.6794777409,6,TRUE
"GBPUSD","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,10912.7144799298,-21813.4289598596,-21777.5242281073,6,TRUE
"GBPCNY","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,10893.0720154639,-21776.1440309278,-21746.2234211343,5,TRUE
"GBPCNY","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,10821.0262559353,-21630.0525118705,-21594.1477801183,6,TRUE
"GBPCNY","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,10654.3247450565,-21296.6494901129,-21260.7447583607,6,TRUE
"GBPCNY","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,10962.6516239769,-21913.3032479538,-21877.3985162016,6,TRUE
"USDZAR","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9169.06906139011,-18328.1381227802,-18298.2175129867,5,TRUE
"USDZAR","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9143.66198480161,-18275.3239696032,-18239.419237851,6,TRUE
"USDZAR","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9255.82271832768,-18499.6454366554,-18463.7407049031,6,TRUE
"USDZAR","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9260.10665791012,-18508.2133158202,-18472.308584068,6,TRUE
"GBPZAR","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9433.00658746974,-18856.0131749395,-18826.092565146,5,TRUE
"GBPZAR","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9409.05187536284,-18806.1037507257,-18770.1990189735,6,TRUE
"GBPZAR","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9243.21952916219,-18474.4390583244,-18438.5343265722,6,TRUE
"GBPZAR","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9492.23532236624,-18972.4706447325,-18936.5659129803,6,TRUE
"EURZAR","sGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9529.81880533662,-19049.6376106732,-19019.7170008797,5,TRUE
"EURZAR","eGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9589.25374268183,-19166.5074853637,-19130.6027536114,6,TRUE
"EURZAR","gjrGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9546.65003475385,-19081.3000695077,-19045.3953377555,6,TRUE
"EURZAR","TGARCH_std","tscv",4,676,3609,2934,3610,3649,40,9586.11091230964,-19160.2218246193,-19124.3170928671,6,TRUE
