epoch,train_loss
1,1.709081490834554
2,1.5025885701179504
3,1.4441201488176982
4,1.4301418860753377
5,1.428883175055186
6,1.4298749963442485
7,1.4287097851435344
8,1.4299288789431255
9,1.4354546268781025
10,1.4320259888966878
11,1.428421636422475
12,1.4310186505317688
13,1.429561158021291
14,1.4299626151720684
15,1.4308011929194133
16,1.4374318718910217
17,1.4378872315088909
18,1.427859087785085
19,1.431660274664561
20,1.4261500040690105
21,1.427603006362915
22,1.4356858730316162
23,1.4308348894119263
24,1.4406874378522236
25,1.431959092617035
26,1.4362045923868816
27,1.4262152711550395
28,1.426787296930949
29,1.43158092101415
30,1.4329316814740498
31,1.4308069745699565
32,1.4306662480036418
33,1.4288399616877239
34,1.4258968631426494
35,1.4257335861523945
36,1.437183439731598
37,1.4256646831830342
38,1.4282684524854024
39,1.4265907605489094
40,1.426947832107544
41,1.4267979462941487
42,1.4333929419517517
43,1.4323227802912395
44,1.4289758205413818
45,1.4278885126113892
46,1.4253251552581787
47,1.4260011116663616
48,1.4311856230099995
49,1.4263556400934856
50,1.4278866052627563
51,1.427290399869283
52,1.4243475198745728
53,1.4292091528574626
54,1.4251934885978699
55,1.426878531773885
56,1.4319567481676738
57,1.430208424727122
58,1.4355508883794148
59,1.430165688196818
60,1.4317800402641296
61,1.4308206637700398
62,1.4340986013412476
63,1.4321999351183574
64,1.4285671909650166
65,1.4288131793340046
66,1.4337112108866374
67,1.4279685815175374
68,1.4294402798016865
69,1.43022620677948
70,1.425979236761729
71,1.4276177485783894
72,1.4260538617769878
73,1.4391026496887207
74,1.4264269073804219
75,1.427198350429535
