"asset","model","split_type","window_id","train_start","train_end","train_size","test_start","test_end","test_size","loglik","aic","bic","n_params","convergence"
"NVDA","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,6722.61633664296,-13435.2326732859,-13405.3120634924,5,TRUE
"NVDA","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,6604.88874612899,-13197.777492258,-13161.8727605058,6,TRUE
"NVDA","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,6528.451055519,-13044.902111038,-13008.9973792858,6,TRUE
"NVDA","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,6763.21795837057,-13514.4359167411,-13478.5311849889,6,TRUE
"MSFT","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,8237.36982477617,-16464.7396495523,-16434.8190397588,5,TRUE
"MSFT","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,8151.03663735579,-16290.0732747116,-16254.1685429594,6,TRUE
"MSFT","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,8224.42710220885,-16436.8542044177,-16400.9494726655,6,TRUE
"MSFT","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,8276.61166515529,-16541.2233303106,-16505.3185985584,6,TRUE
"PG","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9466.02630879213,-18922.0526175843,-18892.1320077907,5,TRUE
"PG","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9391.7970336867,-18771.5940673734,-18735.6893356212,6,TRUE
"PG","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9483.48444327136,-18954.9688865427,-18919.0641547905,6,TRUE
"PG","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9489.77753507303,-18967.5550701461,-18931.6503383938,6,TRUE
"CAT","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,7882.09392548411,-15754.1878509682,-15724.2672411747,5,TRUE
"CAT","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,7818.78065239094,-15625.5613047819,-15589.6565730297,6,TRUE
"CAT","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,7669.04693280304,-15326.0938656061,-15290.1891338539,6,TRUE
"CAT","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,7921.85445237999,-15831.70890476,-15795.8041730078,6,TRUE
"WMT","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9180.5353002732,-18351.0706005464,-18321.1499907529,5,TRUE
"WMT","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9153.2962276899,-18294.5924553798,-18258.6877236276,6,TRUE
"WMT","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9004.08355151587,-17996.1671030317,-17960.2623712795,6,TRUE
"WMT","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9197.86069008727,-18383.7213801745,-18347.8166484223,6,TRUE
"AMZN","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,7591.71226153939,-15173.4245230788,-15143.5039132853,5,TRUE
"AMZN","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,7530.23383434566,-15048.4676686913,-15012.5629369391,6,TRUE
"AMZN","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,7625.71893040348,-15239.437860807,-15203.5331290547,6,TRUE
"AMZN","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,7646.43767441228,-15280.8753488246,-15244.9706170723,6,TRUE
"EURUSD","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11481.7190989996,-22953.4381979991,-22923.5175882056,5,TRUE
"EURUSD","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11456.9881369337,-22901.9762738674,-22866.0715421152,6,TRUE
"EURUSD","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11186.8350084577,-22361.6700169154,-22325.7652851632,6,TRUE
"EURUSD","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11543.6708044558,-23075.3416089116,-23039.4368771593,6,TRUE
"GBPUSD","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11221.9111216995,-22433.8222433991,-22403.9016336056,5,TRUE
"GBPUSD","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11185.693035003,-22359.386070006,-22323.4813382538,6,TRUE
"GBPUSD","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,10991.4333704687,-21970.8667409375,-21934.9620091853,6,TRUE
"GBPUSD","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11258.875178926,-22505.7503578521,-22469.8456260999,6,TRUE
"GBPCNY","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11300.4259245876,-22590.8518491753,-22560.9312393818,5,TRUE
"GBPCNY","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11258.4525734997,-22504.9051469994,-22469.0004152472,6,TRUE
"GBPCNY","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11078.8732840245,-22145.7465680489,-22109.8418362967,6,TRUE
"GBPCNY","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,11305.2889493366,-22598.5778986731,-22562.6731669209,6,TRUE
"USDZAR","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9377.36887823664,-18744.7377564733,-18714.8171466798,5,TRUE
"USDZAR","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9405.39698264543,-18798.7939652909,-18762.8892335386,6,TRUE
"USDZAR","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9441.19995374088,-18870.3999074818,-18834.4951757295,6,TRUE
"USDZAR","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9449.75165588169,-18887.5033117634,-18851.5985800112,6,TRUE
"GBPZAR","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9649.82443325329,-19289.6488665066,-19259.7282567131,5,TRUE
"GBPZAR","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9673.85059205572,-19335.7011841114,-19299.7964523592,6,TRUE
"GBPZAR","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9423.66423226589,-18835.3284645318,-18799.4237327796,6,TRUE
"GBPZAR","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9705.62963958666,-19399.2592791733,-19363.3545474211,6,TRUE
"EURZAR","sGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9714.32669293249,-19418.653385865,-19388.7327760715,5,TRUE
"EURZAR","eGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9689.96274655074,-19367.9254931015,-19332.0207613493,6,TRUE
"EURZAR","gjrGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9726.52741518865,-19441.0548303773,-19405.1500986251,6,TRUE
"EURZAR","TGARCH_std","tscv",8,1576,4509,2934,4510,4515,6,9770.20804763418,-19528.4160952684,-19492.5113635162,6,TRUE
