epoch,train_loss
1,1.8687068025271099
2,1.675757904847463
3,1.5205542643864949
4,1.483744223912557
5,1.4784310658772786
6,1.4729207356770833
7,1.4719384908676147
8,1.4754040439923604
9,1.4870277444521587
10,1.476581076780955
11,1.4694264928499858
12,1.4704575538635254
13,1.4854263067245483
14,1.4801225264867146
15,1.4920851985613506
16,1.4729544321695964
17,1.4811218579610188
18,1.4862796862920125
19,1.4754887223243713
20,1.4804506301879883
21,1.4830575784047444
22,1.468515157699585
23,1.475546399752299
24,1.4787972172101338
25,1.469635248184204
26,1.4698835213979085
27,1.4816314379374187
28,1.4734865029652913
29,1.4729923407236736
30,1.4744590520858765
31,1.4708169102668762
32,1.4726141095161438
33,1.4733141660690308
34,1.4702214201291401
35,1.469292143980662
36,1.469906508922577
37,1.4716569979985554
38,1.4704782565434773
39,1.473378558953603
40,1.478328287601471
41,1.4773325125376384
42,1.4730931719144185
43,1.4699380199114482
44,1.4647176265716553
45,1.4752004146575928
46,1.4828623135884602
47,1.4737746516863506
48,1.4698874950408936
49,1.4814103841781616
50,1.4768900871276855
51,1.474832038084666
52,1.4666898449261982
53,1.4744675159454346
54,1.4747353792190552
55,1.4718046188354492
56,1.4710341095924377
57,1.4758684833844502
58,1.4770596822102864
59,1.4650809168815613
60,1.4783406257629395
61,1.4799572626749675
62,1.4737004240353901
63,1.4802529215812683
64,1.4728143612543743
65,1.4748710989952087
66,1.4695113102595012
67,1.464680790901184
68,1.4684018890062969
69,1.4698562423388164
70,1.4686816533406575
71,1.4792223970095317
72,1.4738104144732158
73,1.489857017993927
74,1.4710984428723652
75,1.4670887192090352
