epoch,train_loss,val_loss
1,1.4183185815811157,
2,1.4096741676330566,
3,1.3940273523330688,
4,1.379767084121704,
5,1.3664563417434692,1.346226692199707
6,1.3615077972412108,
7,1.3516422510147095,
8,1.3453092336654664,
9,1.3407017946243287,
10,1.3455172777175903,1.3307976126670837
11,1.339752435684204,
12,1.3384007692337037,
13,1.3487291097640992,
14,1.3424064636230468,
15,1.3498254060745238,1.3294907808303833
16,1.3453537464141845,
17,1.3428001880645752,
18,1.3469611167907716,
19,1.3368449687957764,
20,1.3475998401641847,1.3314653038978577
21,1.3461893558502198,
22,1.3426681995391845,
23,1.342001461982727,
24,1.347797679901123,
25,1.3426308631896973,1.3295895457267761
26,1.3436847925186157,
27,1.342032217979431,
28,1.3457810640335084,
29,1.345541000366211,
30,1.3437133312225342,1.3352513909339905
31,1.34390549659729,
32,1.3542385816574096,
33,1.3436685085296631,
34,1.3456265687942506,
35,1.3530624628067016,1.3316078186035156
36,1.3425963640213012,
37,1.3358357429504395,
38,1.3404455423355102,
39,1.3572322607040406,
40,1.3420992612838745,1.329305112361908
41,1.34078049659729,
42,1.346219253540039,
43,1.3434222221374512,
44,1.3519636392593384,
45,1.3448235988616943,1.3295992612838745
46,1.3405159711837769,
47,1.340943694114685,
48,1.3470476150512696,
49,1.3620256423950194,
50,1.3472317218780518,1.3293668627738953
51,1.3393903017044066,
52,1.3433167219161988,
53,1.3383833646774292,
54,1.345250177383423,
55,1.3428106307983398,1.3308873176574707
56,1.3436851263046266,
57,1.3371461391448975,
58,1.338152813911438,
59,1.3402251720428466,
60,1.3501370429992676,1.3298640251159668
61,1.3431963682174684,
62,1.3410524129867554,
63,1.3563320875167846,
64,1.3381954669952392,
65,1.3439081192016602,1.3300181031227112
66,1.3435612201690674,
67,1.3486870527267456,
68,1.3509117841720581,
69,1.3513172626495362,
70,1.3494146585464477,1.3297598361968994
71,1.3438705205917358,
72,1.3525202512741088,
73,1.3367051601409912,
74,1.3491702318191527,
75,1.3424064636230468,1.3292943239212036
