epoch,train_loss,val_loss
1,1.5983369112014771,
2,1.593613338470459,
3,1.5918083667755127,
4,1.5857651233673096,
5,1.5843945264816284,1.6360994577407837
6,1.5896446228027343,
7,1.5864609956741333,
8,1.590996789932251,
9,1.5886071443557739,
10,1.5858556509017945,1.638083279132843
11,1.5974578857421875,
12,1.590282678604126,
13,1.5919192790985108,
14,1.5831923246383668,
15,1.5831735610961915,1.6374876499176025
16,1.5878238677978516,
17,1.5935775756835937,
18,1.5920371532440185,
19,1.5886222839355468,
20,1.5914276838302612,1.6373159885406494
21,1.5789552211761475,
22,1.5935120820999145,
23,1.5897417783737182,
24,1.5854815721511841,
25,1.5944216012954713,1.6375266313552856
26,1.5840063571929932,
27,1.586122989654541,
28,1.5842298507690429,
29,1.5945756912231446,
30,1.583904504776001,1.6374423503875732
31,1.594460368156433,
32,1.5963324785232544,
33,1.5866626977920533,
34,1.5875556945800782,
35,1.5905303955078125,1.6374443173408508
36,1.5940847396850586,
37,1.5891783475875854,
38,1.5901538610458374,
39,1.5883340120315552,
40,1.5880720376968385,1.637643814086914
41,1.5928808927536011,
42,1.5853716850280761,
43,1.592593216896057,
44,1.5878467321395875,
45,1.5937051057815552,1.63762366771698
46,1.5882529973983766,
47,1.5953660964965821,
48,1.5925567865371704,
49,1.592808437347412,
50,1.580815076828003,1.637284517288208
51,1.5823952198028564,
52,1.591672658920288,
53,1.5876300096511842,
54,1.584533452987671,
55,1.5919982194900513,1.6378329992294312
56,1.5890333652496338,
57,1.5839999675750733,
58,1.5922086477279662,
59,1.5934954643249513,
60,1.5820388078689576,1.637569010257721
61,1.587614154815674,
62,1.584504747390747,
63,1.5892264604568482,
64,1.5864063262939454,
65,1.5852575302124023,1.6376289129257202
66,1.5834102153778076,
67,1.5886243343353272,
68,1.5858128547668457,
69,1.5848891735076904,
70,1.5867316246032714,1.638447880744934
71,1.5881611347198485,
72,1.599756693840027,
73,1.5955211639404296,
74,1.5919073820114136,
75,1.5919074535369873,1.6371313333511353
