"asset","model","split_type","window_id","train_start","train_end","train_size","test_start","test_end","test_size","loglik","aic","bic","n_params","convergence"
"NVDA","sGARCH_std","tscv",2,226,3159,2934,3160,3199,40,6633.77203584676,-13257.5440716935,-13227.6234619,5,TRUE
"NVDA","eGARCH_std","tscv",2,226,3159,2934,3160,3199,40,6471.76362962666,-12931.5272592533,-12895.6225275011,6,TRUE
"NVDA","gjrGARCH_std","tscv",2,226,3159,2934,3160,3199,40,6654.91243099425,-13297.8248619885,-13261.9201302363,6,TRUE
"NVDA","TGARCH_std","tscv",2,226,3159,2934,3160,3199,40,6677.32492267318,-13342.6498453464,-13306.7451135941,6,TRUE
"MSFT","sGARCH_std","tscv",2,226,3159,2934,3160,3199,40,8282.56974916172,-16555.1394983234,-16525.2188885299,5,TRUE
"MSFT","eGARCH_std","tscv",2,226,3159,2934,3160,3199,40,8191.06886966366,-16370.1377393273,-16334.2330075751,6,TRUE
"MSFT","gjrGARCH_std","tscv",2,226,3159,2934,3160,3199,40,8299.92914739022,-16587.8582947804,-16551.9535630282,6,TRUE
"MSFT","TGARCH_std","tscv",2,226,3159,2934,3160,3199,40,8318.05601126325,-16624.1120225265,-16588.2072907743,6,TRUE
"PG","sGARCH_std","tscv",2,226,3159,2934,3160,3199,40,9565.64564278105,-19121.2912855621,-19091.3706757686,5,TRUE
"PG","eGARCH_std","tscv",2,226,3159,2934,3160,3199,40,9463.63248732727,-18915.2649746545,-18879.3602429023,6,TRUE
"PG","gjrGARCH_std","tscv",2,226,3159,2934,3160,3199,40,9581.04208863941,-19150.0841772788,-19114.1794455266,6,TRUE
"PG","TGARCH_std","tscv",2,226,3159,2934,3160,3199,40,9591.94125625533,-19171.8825125107,-19135.9777807584,6,TRUE
"CAT","sGARCH_std","tscv",2,226,3159,2934,3160,3199,40,7694.66953072757,-15379.3390614551,-15349.4184516616,5,TRUE
"CAT","eGARCH_std","tscv",2,226,3159,2934,3160,3199,40,7526.40394625781,-15040.8078925156,-15004.9031607634,6,TRUE
"CAT","gjrGARCH_std","tscv",2,226,3159,2934,3160,3199,40,7695.35994184501,-15378.71988369,-15342.8151519378,6,TRUE
"CAT","TGARCH_std","tscv",2,226,3159,2934,3160,3199,40,7758.85449104535,-15505.7089820907,-15469.8042503385,6,TRUE
"WMT","sGARCH_std","tscv",2,226,3159,2934,3160,3199,40,9111.64804280686,-18213.2960856137,-18183.3754758202,5,TRUE
"WMT","eGARCH_std","tscv",2,226,3159,2934,3160,3199,40,9067.10332916893,-18122.2066583379,-18086.3019265856,6,TRUE
"WMT","gjrGARCH_std","tscv",2,226,3159,2934,3160,3199,40,9082.53015787955,-18153.0603157591,-18117.1555840069,6,TRUE
"WMT","TGARCH_std","tscv",2,226,3159,2934,3160,3199,40,9148.80062909619,-18285.6012581924,-18249.6965264402,6,TRUE
"AMZN","sGARCH_std","tscv",2,226,3159,2934,3160,3199,40,7260.66561345787,-14511.3312269157,-14481.4106171222,5,TRUE
"AMZN","eGARCH_std","tscv",2,226,3159,2934,3160,3199,40,7159.66676335007,-14307.3335267001,-14271.4287949479,6,TRUE
"AMZN","gjrGARCH_std","tscv",2,226,3159,2934,3160,3199,40,7290.73222020934,-14569.4644404187,-14533.5597086665,6,TRUE
"AMZN","TGARCH_std","tscv",2,226,3159,2934,3160,3199,40,7313.61678051736,-14615.2335610347,-14579.3288292825,6,TRUE
"EURUSD","sGARCH_std","tscv",2,226,3159,2934,3160,3199,40,10902.0004229877,-21794.0008459754,-21764.0802361819,5,TRUE
"EURUSD","eGARCH_std","tscv",2,226,3159,2934,3160,3199,40,10854.5575065852,-21697.1150131703,-21661.2102814181,6,TRUE
"EURUSD","gjrGARCH_std","tscv",2,226,3159,2934,3160,3199,40,10652.4835992408,-21292.9671984816,-21257.0624667294,6,TRUE
"EURUSD","TGARCH_std","tscv",2,226,3159,2934,3160,3199,40,10992.921440042,-21973.842880084,-21937.9381483318,6,TRUE
"GBPUSD","sGARCH_std","tscv",2,226,3159,2934,3160,3199,40,11016.9547052849,-22023.9094105698,-21993.9888007762,5,TRUE
"GBPUSD","eGARCH_std","tscv",2,226,3159,2934,3160,3199,40,10892.5494594648,-21773.0989189297,-21737.1941871775,6,TRUE
"GBPUSD","gjrGARCH_std","tscv",2,226,3159,2934,3160,3199,40,11059.7499546364,-22107.4999092727,-22071.5951775205,6,TRUE
"GBPUSD","TGARCH_std","tscv",2,226,3159,2934,3160,3199,40,11068.9501247869,-22125.9002495737,-22089.9955178215,6,TRUE
